[2024-11-12 04:00:17,209][INFO] 
===== vgg19-8-feature-100-2024-11-12-04-00-17 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 10
  batch_size: 50
  min_epochs: 10
  max_epochs: 10
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x782d11f69670>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x782dae9e5790>
[2024-11-12 04:01:00,305][INFO] --FGSM sample 11 image
[2024-11-12 04:01:00,681][INFO] --PGD sample 11 image
[2024-11-12 04:01:04,368][INFO] --FGSM sample 12 image
[2024-11-12 04:01:04,740][INFO] --PGD sample 12 image
[2024-11-12 04:01:08,417][INFO] --FGSM sample 13 image
[2024-11-12 04:01:08,789][INFO] --PGD sample 13 image
[2024-11-12 04:01:12,471][INFO] --FGSM sample 14 image
[2024-11-12 04:01:12,850][INFO] --PGD sample 14 image
[2024-11-12 04:01:16,523][INFO] --FGSM sample 15 image
[2024-11-12 04:01:16,897][INFO] --PGD sample 15 image
[2024-11-12 04:01:20,574][INFO] --FGSM sample 16 image
[2024-11-12 04:01:20,951][INFO] --PGD sample 16 image
[2024-11-12 04:01:24,636][INFO] --FGSM sample 17 image
[2024-11-12 04:01:25,009][INFO] --PGD sample 17 image
[2024-11-12 04:01:28,693][INFO] --FGSM sample 18 image
[2024-11-12 04:01:29,065][INFO] --PGD sample 18 image
[2024-11-12 04:01:32,748][INFO] --FGSM sample 19 image
[2024-11-12 04:01:33,121][INFO] --PGD sample 19 image
[2024-11-12 04:01:36,815][INFO] --FGSM sample 20 image
[2024-11-12 04:01:37,189][INFO] --PGD sample 20 image
[2024-11-12 04:01:40,873][INFO] --FGSM sample 21 image
[2024-11-12 04:01:41,246][INFO] --PGD sample 21 image
[2024-11-12 04:01:44,931][INFO] --FGSM sample 22 image
[2024-11-12 04:01:45,313][INFO] --PGD sample 22 image
[2024-11-12 04:01:49,004][INFO] --FGSM sample 23 image
[2024-11-12 04:01:49,381][INFO] --PGD sample 23 image
[2024-11-12 04:01:53,073][INFO] --FGSM sample 24 image
[2024-11-12 04:01:53,444][INFO] --PGD sample 24 image
[2024-11-12 04:01:57,134][INFO] --FGSM sample 25 image
[2024-11-12 04:01:57,504][INFO] --PGD sample 25 image
[2024-11-12 04:02:01,178][INFO] --FGSM sample 26 image
[2024-11-12 04:02:01,550][INFO] --PGD sample 26 image
[2024-11-12 04:02:05,221][INFO] --FGSM sample 27 image
[2024-11-12 04:02:05,597][INFO] --PGD sample 27 image
[2024-11-12 04:02:09,268][INFO] --FGSM sample 28 image
[2024-11-12 04:02:09,645][INFO] --PGD sample 28 image
[2024-11-12 04:02:13,311][INFO] --FGSM sample 29 image
[2024-11-12 04:02:15,541][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:02:15,542][INFO] --PGD sample 29 image
[2024-11-12 04:02:19,219][INFO] --FGSM sample 30 image
[2024-11-12 04:02:19,592][INFO] --PGD sample 30 image
[2024-11-12 04:02:23,275][INFO] --FGSM sample 31 image
[2024-11-12 04:02:25,506][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:02:25,506][INFO] --PGD sample 31 image
[2024-11-12 04:02:29,191][INFO] --FGSM sample 32 image
[2024-11-12 04:02:29,567][INFO] --PGD sample 32 image
[2024-11-12 04:02:33,262][INFO] --FGSM sample 33 image
[2024-11-12 04:02:33,638][INFO] --PGD sample 33 image
[2024-11-12 04:02:37,321][INFO] --FGSM sample 34 image
[2024-11-12 04:02:37,699][INFO] --PGD sample 34 image
[2024-11-12 04:02:41,373][INFO] --FGSM sample 35 image
[2024-11-12 04:02:41,750][INFO] --PGD sample 35 image
[2024-11-12 04:02:45,437][INFO] --FGSM sample 36 image
[2024-11-12 04:02:45,813][INFO] --PGD sample 36 image
[2024-11-12 04:02:49,504][INFO] --FGSM sample 37 image
[2024-11-12 04:02:49,878][INFO] --PGD sample 37 image
[2024-11-12 04:02:53,560][INFO] --FGSM sample 38 image
[2024-11-12 04:02:53,937][INFO] --PGD sample 38 image
[2024-11-12 04:02:57,620][INFO] --FGSM sample 39 image
[2024-11-12 04:02:57,997][INFO] --PGD sample 39 image
[2024-11-12 04:03:01,707][INFO] --FGSM sample 40 image
[2024-11-12 04:03:02,083][INFO] --PGD sample 40 image
[2024-11-12 04:03:05,777][INFO] --FGSM sample 41 image
[2024-11-12 04:03:06,156][INFO] --PGD sample 41 image
[2024-11-12 04:03:09,848][INFO] --FGSM sample 42 image
[2024-11-12 04:03:10,225][INFO] --PGD sample 42 image
[2024-11-12 04:03:13,922][INFO] --FGSM sample 43 image
[2024-11-12 04:03:14,294][INFO] --PGD sample 43 image
[2024-11-12 04:03:17,974][INFO] --FGSM sample 44 image
[2024-11-12 04:03:18,355][INFO] --PGD sample 44 image
[2024-11-12 04:03:22,043][INFO] --FGSM sample 45 image
[2024-11-12 04:03:22,425][INFO] --PGD sample 45 image
[2024-11-12 04:03:26,118][INFO] --FGSM sample 46 image
[2024-11-12 04:03:26,497][INFO] --PGD sample 46 image
[2024-11-12 04:03:30,195][INFO] --FGSM sample 47 image
[2024-11-12 04:03:30,577][INFO] --PGD sample 47 image
[2024-11-12 04:03:34,290][INFO] --FGSM sample 48 image
[2024-11-12 04:03:34,663][INFO] --PGD sample 48 image
[2024-11-12 04:03:38,369][INFO] --FGSM sample 49 image
[2024-11-12 04:03:38,747][INFO] --PGD sample 49 image
[2024-11-12 04:03:42,450][INFO] --FGSM sample 50 image
[2024-11-12 04:03:42,826][INFO] --PGD sample 50 image
[2024-11-12 04:03:46,533][INFO] --FGSM sample 51 image
[2024-11-12 04:03:46,914][INFO] --PGD sample 51 image
[2024-11-12 04:03:50,609][INFO] --FGSM sample 52 image
[2024-11-12 04:03:50,988][INFO] --PGD sample 52 image
[2024-11-12 04:03:54,689][INFO] --FGSM sample 53 image
[2024-11-12 04:03:55,066][INFO] --PGD sample 53 image
[2024-11-12 04:03:58,771][INFO] --FGSM sample 54 image
[2024-11-12 04:03:59,153][INFO] --PGD sample 54 image
[2024-11-12 04:04:02,851][INFO] --FGSM sample 55 image
[2024-11-12 04:04:03,235][INFO] --PGD sample 55 image
[2024-11-12 04:04:06,947][INFO] --FGSM sample 56 image
[2024-11-12 04:04:07,709][INFO] --PGD sample 56 image
[2024-11-12 04:04:11,435][INFO] --FGSM sample 57 image
[2024-11-12 04:04:11,814][INFO] --PGD sample 57 image
[2024-11-12 04:04:15,527][INFO] --FGSM sample 58 image
[2024-11-12 04:04:15,904][INFO] --PGD sample 58 image
[2024-11-12 04:04:19,618][INFO] --FGSM sample 59 image
[2024-11-12 04:04:19,995][INFO] --PGD sample 59 image
[2024-11-12 04:04:23,699][INFO] --FGSM sample 60 image
[2024-11-12 04:04:24,080][INFO] --PGD sample 60 image
[2024-11-12 04:04:27,792][INFO] --FGSM sample 61 image
[2024-11-12 04:04:30,038][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:04:30,038][INFO] --PGD sample 61 image
[2024-11-12 04:04:33,751][INFO] --FGSM sample 62 image
[2024-11-12 04:04:34,130][INFO] --PGD sample 62 image
[2024-11-12 04:04:37,838][INFO] --FGSM sample 63 image
[2024-11-12 04:04:38,212][INFO] --PGD sample 63 image
[2024-11-12 04:04:41,906][INFO] --FGSM sample 64 image
[2024-11-12 04:04:42,284][INFO] --PGD sample 64 image
[2024-11-12 04:04:45,992][INFO] --FGSM sample 65 image
[2024-11-12 04:04:46,372][INFO] --PGD sample 65 image
[2024-11-12 04:04:50,071][INFO] --FGSM sample 66 image
[2024-11-12 04:04:50,448][INFO] --PGD sample 66 image
[2024-11-12 04:04:54,168][INFO] --FGSM sample 67 image
[2024-11-12 04:04:54,551][INFO] --PGD sample 67 image
[2024-11-12 04:04:58,292][INFO] --FGSM sample 68 image
[2024-11-12 04:04:58,673][INFO] --PGD sample 68 image
[2024-11-12 04:05:02,400][INFO] --FGSM sample 69 image
[2024-11-12 04:05:02,774][INFO] --PGD sample 69 image
[2024-11-12 04:05:06,495][INFO] --FGSM sample 70 image
[2024-11-12 04:05:06,868][INFO] --PGD sample 70 image
[2024-11-12 04:05:10,582][INFO] --FGSM sample 71 image
[2024-11-12 04:05:12,828][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:05:12,828][INFO] --PGD sample 71 image
[2024-11-12 04:05:16,532][INFO] --FGSM sample 72 image
[2024-11-12 04:05:16,916][INFO] --PGD sample 72 image
[2024-11-12 04:05:20,630][INFO] --FGSM sample 73 image
[2024-11-12 04:05:21,014][INFO] --PGD sample 73 image
[2024-11-12 04:05:24,739][INFO] --FGSM sample 74 image
[2024-11-12 04:05:25,878][INFO] --PGD sample 74 image
[2024-11-12 04:05:29,593][INFO] --FGSM sample 75 image
[2024-11-12 04:05:29,970][INFO] --PGD sample 75 image
[2024-11-12 04:05:33,675][INFO] --FGSM sample 76 image
[2024-11-12 04:05:34,057][INFO] --PGD sample 76 image
[2024-11-12 04:05:37,780][INFO] --FGSM sample 77 image
[2024-11-12 04:05:38,156][INFO] --PGD sample 77 image
[2024-11-12 04:05:41,875][INFO] --FGSM sample 78 image
[2024-11-12 04:05:44,117][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:05:44,117][INFO] --PGD sample 78 image
[2024-11-12 04:05:47,827][INFO] --FGSM sample 79 image
[2024-11-12 04:05:48,208][INFO] --PGD sample 79 image
[2024-11-12 04:05:51,915][INFO] --FGSM sample 80 image
[2024-11-12 04:05:52,291][INFO] --PGD sample 80 image
[2024-11-12 04:05:56,004][INFO] --FGSM sample 81 image
[2024-11-12 04:05:56,383][INFO] --PGD sample 81 image
[2024-11-12 04:06:00,110][INFO] --FGSM sample 82 image
[2024-11-12 04:06:00,493][INFO] --PGD sample 82 image
[2024-11-12 04:06:04,235][INFO] --FGSM sample 83 image
[2024-11-12 04:06:04,616][INFO] --PGD sample 83 image
[2024-11-12 04:06:08,335][INFO] --FGSM sample 84 image
[2024-11-12 04:06:08,713][INFO] --PGD sample 84 image
[2024-11-12 04:06:12,421][INFO] --FGSM sample 85 image
[2024-11-12 04:06:12,796][INFO] --PGD sample 85 image
[2024-11-12 04:06:16,515][INFO] --FGSM sample 86 image
[2024-11-12 04:06:16,895][INFO] --PGD sample 86 image
[2024-11-12 04:06:20,625][INFO] --FGSM sample 87 image
[2024-11-12 04:06:21,006][INFO] --PGD sample 87 image
[2024-11-12 04:06:24,730][INFO] --FGSM sample 88 image
[2024-11-12 04:06:25,112][INFO] --PGD sample 88 image
[2024-11-12 04:06:28,863][INFO] --FGSM sample 89 image
[2024-11-12 04:06:29,240][INFO] --PGD sample 89 image
[2024-11-12 04:06:32,991][INFO] --FGSM sample 90 image
[2024-11-12 04:06:35,264][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2024-11-12 04:06:35,265][INFO] --PGD sample 90 image
[2024-11-12 04:06:39,025][INFO] --FGSM sample 91 image
[2024-11-12 04:06:39,404][INFO] --PGD sample 91 image
[2024-11-12 04:06:43,153][INFO] --FGSM sample 92 image
[2024-11-12 04:06:43,537][INFO] --PGD sample 92 image
[2024-11-12 04:06:47,299][INFO] --FGSM sample 93 image
[2024-11-12 04:06:47,681][INFO] --PGD sample 93 image
[2024-11-12 04:06:51,425][INFO] --FGSM sample 94 image
[2024-11-12 04:06:51,805][INFO] --PGD sample 94 image
[2024-11-12 04:06:55,558][INFO] --FGSM sample 95 image
[2024-11-12 04:06:55,945][INFO] --PGD sample 95 image
[2024-11-12 04:06:59,692][INFO] --FGSM sample 96 image
[2024-11-12 04:07:00,071][INFO] --PGD sample 96 image
[2024-11-12 04:07:03,833][INFO] --FGSM sample 97 image
[2024-11-12 04:07:04,213][INFO] --PGD sample 97 image
[2024-11-12 04:07:07,958][INFO] --FGSM sample 98 image
[2024-11-12 04:07:08,339][INFO] --PGD sample 98 image
[2024-11-12 04:07:12,097][INFO] --FGSM sample 99 image
[2024-11-12 04:07:12,474][INFO] --PGD sample 99 image
[2024-11-12 04:07:16,244][INFO] --FGSM sample 100 image
[2024-11-12 04:07:16,624][INFO] --PGD sample 100 image
[2024-11-12 04:07:22,565][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-11-12 04:07:31,202][INFO] --Test repair set accuracy 0.0
[2024-11-12 04:07:31,204][INFO] --Patch network: --- feature PatchNet ---
Name: feature patch network 0
--- End of feature PatchNet ---
[2024-11-12 04:07:31,204][INFO] [0m 0s (0.000 seconds)] Start repair part 0: 0
[2024-11-12 04:07:31,204][INFO] [0m 0s (0.000 seconds)] After epoch 0:
[2024-11-12 04:07:31,204][INFO] Loaded 100 abstractions for training.
[2024-11-12 04:07:31,220][INFO] min loss 47.91187286376953, max loss 1348.04443359375.
[2024-11-12 04:07:31,222][INFO] Max loss at rule: tensor([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0], device='cuda:1', dtype=torch.uint8).
[2024-11-12 04:07:31,223][INFO] Test set accuracy 0.9342.
[2024-11-12 04:07:31,223][INFO] repair set accuracy 0.0.
[2024-11-12 04:07:31,223][INFO] attacked test set accuracy 0.014.
[2024-11-12 04:07:31,223][INFO] 
[0m 0s (0.019 seconds)] Starting epoch 1:
[2024-11-12 04:07:31,248][INFO] [0m 0s (0.044 seconds)] After epoch 1:
[2024-11-12 04:07:31,248][INFO] Loaded 100 abstractions for training.
[2024-11-12 04:07:31,275][INFO] min loss 0.0, max loss 17.01253890991211.
[2024-11-12 04:07:31,276][INFO] Max loss at rule: tensor([1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0], device='cuda:1', dtype=torch.uint8).
[2024-11-12 04:07:31,277][INFO] Test set accuracy 0.9342.
[2024-11-12 04:07:31,277][INFO] repair set accuracy 0.09.
[2024-11-12 04:07:31,277][INFO] attacked test set accuracy 0.09.
[2024-11-12 04:07:31,277][INFO] 
[0m 0s (0.073 seconds)] Starting epoch 2:
[2024-11-12 04:07:31,302][INFO] [0m 0s (0.098 seconds)] After epoch 2:
[2024-11-12 04:07:31,302][INFO] Loaded 100 abstractions for training.
[2024-11-12 04:07:31,328][INFO] min loss 0.0, max loss 0.0.
[2024-11-12 04:07:31,328][INFO] All 100 abstractions certified.
[2024-11-12 04:07:31,329][INFO] Test set accuracy 0.9342.
[2024-11-12 04:07:31,329][INFO] repair set accuracy 0.09.
[2024-11-12 04:07:31,329][INFO] attacked test set accuracy 0.09.
[2024-11-12 04:07:31,331][INFO] Accuracy at every epoch: [0.9342, 0.9342, 0.9342]
[2024-11-12 04:07:31,331][INFO] After 2 epochs / 0m 0s (0.125 seconds), eventually the trained network got certified? True, with 0.9342 accuracy on test set,with 0.0900 accuracy on repair set,with 0.0900 accuracy on attack test set.
[2024-11-12 04:07:31,331][INFO] final test
[2024-11-12 04:07:31,331][INFO] --Test set accuracy 0.9342
[2024-11-12 04:07:31,332][INFO] --Test repair set accuracy 0.09
[2024-11-12 04:07:31,332][INFO] --Test attack test set accuracy 0.09
[2024-11-12 04:07:31,332][INFO] traing time 0.12819168413989246s
[2024-11-12 04:07:31,337][INFO] === Avg <epochs, train_time, certified, accuracy> for pgd attack networks:
[2024-11-12 04:07:31,337][INFO] tensor([2.0000, 0.1252, 1.0000, 0.9342])
[2024-11-12 04:07:31,338][INFO] Total Cost Time: 434.1294858008623s.



