[2024-11-12 00:50:53,913][INFO] 
===== vgg19-4-feature-100-2024-11-12-00-50-53 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 0.1
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x727b5f70d820>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x727b592c5b80>
[2024-11-12 00:52:53,623][INFO] --PGD sample 34 image
[2024-11-12 00:52:57,278][INFO] --PGD sample 35 image
[2024-11-12 00:53:00,928][INFO] --PGD sample 36 image
[2024-11-12 00:53:04,586][INFO] --PGD sample 37 image
[2024-11-12 00:53:08,245][INFO] --PGD sample 38 image
[2024-11-12 00:53:11,901][INFO] --PGD sample 39 image
[2024-11-12 00:53:15,556][INFO] --PGD sample 40 image
[2024-11-12 00:53:19,222][INFO] --PGD sample 41 image
[2024-11-12 00:53:22,880][INFO] --PGD sample 42 image
[2024-11-12 00:53:26,559][INFO] --PGD sample 43 image
[2024-11-12 00:53:30,222][INFO] --PGD sample 44 image
[2024-11-12 00:53:33,885][INFO] --PGD sample 45 image
[2024-11-12 00:53:37,542][INFO] --PGD sample 46 image
[2024-11-12 00:53:41,194][INFO] --PGD sample 47 image
[2024-11-12 00:53:44,829][INFO] --PGD sample 48 image
[2024-11-12 00:53:48,466][INFO] --PGD sample 49 image
[2024-11-12 00:53:52,117][INFO] --PGD sample 50 image
[2024-11-12 00:53:55,760][INFO] --PGD sample 51 image
[2024-11-12 00:53:59,402][INFO] --PGD sample 52 image
[2024-11-12 00:54:03,045][INFO] --PGD sample 53 image
[2024-11-12 00:54:06,687][INFO] --PGD sample 54 image
[2024-11-12 00:54:10,322][INFO] --PGD sample 55 image
[2024-11-12 00:54:13,967][INFO] --PGD sample 56 image
[2024-11-12 00:54:17,608][INFO] --PGD sample 57 image
[2024-11-12 00:54:21,251][INFO] --PGD sample 58 image
[2024-11-12 00:54:24,893][INFO] --PGD sample 59 image
[2024-11-12 00:54:28,535][INFO] --PGD sample 60 image
[2024-11-12 00:54:32,168][INFO] --PGD sample 61 image
[2024-11-12 00:54:35,809][INFO] --PGD sample 62 image
[2024-11-12 00:54:39,450][INFO] --PGD sample 63 image
[2024-11-12 00:54:43,092][INFO] --PGD sample 64 image
[2024-11-12 00:54:46,735][INFO] --PGD sample 65 image
[2024-11-12 00:54:50,377][INFO] --PGD sample 66 image
[2024-11-12 00:54:54,022][INFO] --PGD sample 67 image
[2024-11-12 00:54:57,661][INFO] --PGD sample 68 image
[2024-11-12 00:55:01,297][INFO] --PGD sample 69 image
[2024-11-12 00:55:04,938][INFO] --PGD sample 70 image
[2024-11-12 00:55:08,587][INFO] --PGD sample 71 image
[2024-11-12 00:55:12,230][INFO] --PGD sample 72 image
[2024-11-12 00:55:15,903][INFO] --PGD sample 73 image
[2024-11-12 00:55:19,547][INFO] --PGD sample 74 image
[2024-11-12 00:55:23,188][INFO] --PGD sample 75 image
[2024-11-12 00:55:26,820][INFO] --PGD sample 76 image
[2024-11-12 00:55:30,460][INFO] --PGD sample 77 image
[2024-11-12 00:55:34,102][INFO] --PGD sample 78 image
[2024-11-12 00:55:37,744][INFO] --PGD sample 79 image
[2024-11-12 00:55:41,386][INFO] --PGD sample 80 image
[2024-11-12 00:55:45,026][INFO] --PGD sample 81 image
[2024-11-12 00:55:48,661][INFO] --PGD sample 82 image
[2024-11-12 00:55:52,302][INFO] --PGD sample 83 image
[2024-11-12 00:55:55,943][INFO] --PGD sample 84 image
[2024-11-12 00:55:59,585][INFO] --PGD sample 85 image
[2024-11-12 00:56:03,227][INFO] --PGD sample 86 image
[2024-11-12 00:56:06,869][INFO] --PGD sample 87 image
[2024-11-12 00:56:10,508][INFO] --PGD sample 88 image
[2024-11-12 00:56:14,145][INFO] --PGD sample 89 image
[2024-11-12 00:56:17,789][INFO] --PGD sample 90 image
[2024-11-12 00:56:21,429][INFO] --PGD sample 91 image
[2024-11-12 00:56:25,070][INFO] --PGD sample 92 image
[2024-11-12 00:56:28,711][INFO] --PGD sample 93 image
[2024-11-12 00:56:32,353][INFO] --PGD sample 94 image
[2024-11-12 00:56:35,987][INFO] --PGD sample 95 image
[2024-11-12 00:56:39,629][INFO] --PGD sample 96 image
[2024-11-12 00:56:43,270][INFO] --PGD sample 97 image
[2024-11-12 00:56:46,911][INFO] --PGD sample 98 image
[2024-11-12 00:56:50,552][INFO] --PGD sample 99 image
[2024-11-12 00:56:54,194][INFO] --PGD sample 100 image
[2024-11-12 00:56:59,885][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-11-12 00:57:08,482][INFO] --Test repair set accuracy 0.0
[2024-11-12 00:57:08,497][INFO] --Patch network: --- feature PatchNet ---
Name: feature patch network 99
--- End of feature PatchNet ---
[2024-11-12 00:57:08,499][INFO] [0m 0s (0.000 seconds)] Start repair part 0: 0
[2024-11-12 00:57:08,499][INFO] [0m 0s (0.001 seconds)] After epoch 0:
[2024-11-12 00:57:08,499][INFO] Loaded 100 abstractions for training.
[2024-11-12 00:57:08,615][INFO] min loss 1.7081187963485718, max loss 96.6397705078125.
[2024-11-12 00:57:08,616][INFO] Max loss at rule: tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0], device='cuda:3', dtype=torch.uint8).
[2024-11-12 00:57:08,646][INFO] Test set accuracy 0.9342.
[2024-11-12 00:57:08,646][INFO] repair set accuracy 0.02.
[2024-11-12 00:57:08,646][INFO] attacked test set accuracy 0.012.
[2024-11-12 00:57:08,646][INFO] 
[0m 0s (0.148 seconds)] Starting epoch 1:
[2024-11-12 00:57:08,977][INFO] [0m 0s (0.479 seconds)] After epoch 1:
[2024-11-12 00:57:08,977][INFO] Loaded 100 abstractions for training.
[2024-11-12 00:57:09,085][INFO] min loss 0.0, max loss 0.0.
[2024-11-12 00:57:09,086][INFO] All 100 abstractions certified.
[2024-11-12 00:57:09,115][INFO] Test set accuracy 0.9342.
[2024-11-12 00:57:09,115][INFO] repair set accuracy 1.0.
[2024-11-12 00:57:09,115][INFO] attacked test set accuracy 1.0.
[2024-11-12 00:57:09,137][INFO] Accuracy at every epoch: [0.9342, 0.9342]
[2024-11-12 00:57:09,137][INFO] After 1 epochs / 0m 0s (0.617 seconds), eventually the trained network got certified? True, with 0.9342 accuracy on test set,with 1.0000 accuracy on repair set,with 1.0000 accuracy on attack test set.
[2024-11-12 00:57:09,137][INFO] final test
[2024-11-12 00:57:09,140][INFO] --Test set accuracy 0.9342
[2024-11-12 00:57:09,154][INFO] --Test repair set accuracy 1.0
[2024-11-12 00:57:09,169][INFO] --Test attack test set accuracy 1.0
[2024-11-12 00:57:09,169][INFO] traing time 0.6707793790847063s
[2024-11-12 00:57:09,172][INFO] === Avg <epochs, train_time, certified, accuracy> for pgd attack networks:
[2024-11-12 00:57:09,172][INFO] tensor([1.0000, 0.6169, 1.0000, 0.9342])
[2024-11-12 00:57:09,173][INFO] Total Cost Time: 375.2595080358442s.



