[2023-12-21 05:48:16,057][INFO] 
===== FNN_small-0.1-500-small-2023-12-21-05-48-16 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8700>
[2023-12-21 05:48:21,416][INFO] --epoch 42 loss 0.036285807564854625
[2023-12-21 05:48:21,474][INFO] --epoch 43 loss 0.03520901901647448
[2023-12-21 05:48:21,532][INFO] --epoch 44 loss 0.033151772990822795
[2023-12-21 05:48:21,588][INFO] --epoch 45 loss 0.032851676736027
[2023-12-21 05:48:21,644][INFO] --epoch 46 loss 0.03235157076269388
[2023-12-21 05:48:21,702][INFO] --epoch 47 loss 0.031889930739998816
[2023-12-21 05:48:21,760][INFO] --epoch 48 loss 0.03196741146966815
[2023-12-21 05:48:21,817][INFO] --epoch 49 loss 0.03173799691721797
[2023-12-21 05:48:21,874][INFO] --epoch 50 loss 0.0317258118186146
[2023-12-21 05:48:21,931][INFO] --epoch 51 loss 0.0317099494393915
[2023-12-21 05:48:21,987][INFO] --epoch 52 loss 0.03177632410079241
[2023-12-21 05:48:22,046][INFO] --epoch 53 loss 0.031821570731699465
[2023-12-21 05:48:22,103][INFO] --epoch 54 loss 0.0319562703371048
[2023-12-21 05:48:22,161][INFO] --epoch 55 loss 0.03241167291998863
[2023-12-21 05:48:22,218][INFO] --epoch 56 loss 0.033093921141698956
[2023-12-21 05:48:22,274][INFO] --epoch 57 loss 0.032225572038441896
[2023-12-21 05:48:22,331][INFO] --epoch 58 loss 0.03040749002248049
[2023-12-21 05:48:22,388][INFO] --epoch 59 loss 0.03249533008784056
[2023-12-21 05:48:22,446][INFO] --epoch 60 loss 0.028846918512135743
[2023-12-21 05:48:22,503][INFO] --epoch 61 loss 0.030653863213956356
[2023-12-21 05:48:22,560][INFO] --epoch 62 loss 0.035140018165111545
[2023-12-21 05:48:22,617][INFO] --epoch 63 loss 0.0309594368096441
[2023-12-21 05:48:22,674][INFO] --epoch 64 loss 0.027223980613052846
[2023-12-21 05:48:22,732][INFO] --epoch 65 loss 0.029262752924114465
[2023-12-21 05:48:22,789][INFO] --epoch 66 loss 0.034924433659762145
[2023-12-21 05:48:22,846][INFO] --epoch 67 loss 0.03534069750458002
[2023-12-21 05:48:22,903][INFO] --epoch 68 loss 0.04034270690754056
[2023-12-21 05:48:22,959][INFO] --epoch 69 loss 0.062077726749703285
[2023-12-21 05:48:23,015][INFO] --epoch 70 loss 0.06668256721459329
[2023-12-21 05:48:23,073][INFO] --epoch 71 loss 0.04296730463393032
[2023-12-21 05:48:23,129][INFO] --epoch 72 loss 0.09310758085921407
[2023-12-21 05:48:23,186][INFO] --epoch 73 loss 0.370579154510051
[2023-12-21 05:48:23,242][INFO] --epoch 74 loss 0.10347826480865478
[2023-12-21 05:48:23,299][INFO] --epoch 75 loss 0.08185842465609312
[2023-12-21 05:48:23,356][INFO] --epoch 76 loss 0.19329907577484845
[2023-12-21 05:48:23,414][INFO] --epoch 77 loss 0.17716694669798017
[2023-12-21 05:48:23,471][INFO] --epoch 78 loss 0.10836234856396913
[2023-12-21 05:48:23,528][INFO] --epoch 79 loss 0.3568493322469294
[2023-12-21 05:48:23,586][INFO] --epoch 80 loss 0.07187819490209221
[2023-12-21 05:48:23,643][INFO] --epoch 81 loss 0.06646075574681162
[2023-12-21 05:48:23,700][INFO] --epoch 82 loss 0.44540044642053545
[2023-12-21 05:48:23,757][INFO] --epoch 83 loss 0.08720091171562672
[2023-12-21 05:48:23,813][INFO] --epoch 84 loss 1.26097946241498
[2023-12-21 05:48:23,870][INFO] --epoch 85 loss 0.7414942726492881
[2023-12-21 05:48:23,927][INFO] --epoch 86 loss 0.4935278445482254
[2023-12-21 05:48:23,984][INFO] --epoch 87 loss 0.5969959557056427
[2023-12-21 05:48:24,040][INFO] --epoch 88 loss 0.40311553366482256
[2023-12-21 05:48:24,097][INFO] --epoch 89 loss 0.8198621340095997
[2023-12-21 05:48:24,154][INFO] --epoch 90 loss 0.23337790966033936
[2023-12-21 05:48:24,212][INFO] --epoch 91 loss 0.2022762330248952
[2023-12-21 05:48:24,268][INFO] --epoch 92 loss 0.3274051144719124
[2023-12-21 05:48:24,324][INFO] --epoch 93 loss 0.12410372514277697
[2023-12-21 05:48:24,381][INFO] --epoch 94 loss 0.1015418754890561
[2023-12-21 05:48:24,438][INFO] --epoch 95 loss 0.1363297998905182
[2023-12-21 05:48:24,494][INFO] --epoch 96 loss 0.04801832251250744
[2023-12-21 05:48:24,553][INFO] --epoch 97 loss 0.11506670755334199
[2023-12-21 05:48:24,612][INFO] --epoch 98 loss 0.08943397807888687
[2023-12-21 05:48:24,670][INFO] --epoch 99 loss 0.4558898154646158
[2023-12-21 05:48:24,729][INFO] --epoch 100 loss 0.06000324673950672
[2023-12-21 05:48:24,786][INFO] --epoch 101 loss 0.09231962207704783
[2023-12-21 05:48:24,844][INFO] --epoch 102 loss 0.10978768365457654
[2023-12-21 05:48:24,904][INFO] --epoch 103 loss 0.040609770780429245
[2023-12-21 05:48:24,964][INFO] --epoch 104 loss 0.06488498318940401
[2023-12-21 05:48:25,022][INFO] --epoch 105 loss 0.05681224754080176
[2023-12-21 05:48:25,079][INFO] --epoch 106 loss 0.04003002722747624
[2023-12-21 05:48:25,135][INFO] --epoch 107 loss 0.03564452566206455
[2023-12-21 05:48:25,193][INFO] --epoch 108 loss 0.02378906395751983
[2023-12-21 05:48:25,253][INFO] --epoch 109 loss 0.02937556605320424
[2023-12-21 05:48:25,310][INFO] --epoch 110 loss 0.02255095650907606
[2023-12-21 05:48:25,367][INFO] --epoch 111 loss 0.03456746556330472
[2023-12-21 05:48:25,424][INFO] --epoch 112 loss 0.028772429516538977
[2023-12-21 05:48:25,483][INFO] --epoch 113 loss 0.021792731271125375
[2023-12-21 05:48:25,541][INFO] --epoch 114 loss 0.016140866256318987
[2023-12-21 05:48:25,598][INFO] --epoch 115 loss 0.013112255849409848
[2023-12-21 05:48:25,657][INFO] --epoch 116 loss 0.017534287041053177
[2023-12-21 05:48:25,714][INFO] --epoch 117 loss 0.011721032904461026
[2023-12-21 05:48:25,771][INFO] --epoch 118 loss 0.015213693608529866
[2023-12-21 05:48:25,828][INFO] --epoch 119 loss 0.008574403077363967
[2023-12-21 05:48:25,886][INFO] --epoch 120 loss 0.009069650410674512
[2023-12-21 05:48:25,943][INFO] --epoch 121 loss 0.00948599261464551
[2023-12-21 05:48:25,999][INFO] --epoch 122 loss 0.009390137274749577
[2023-12-21 05:48:26,056][INFO] --epoch 123 loss 0.009531627589603886
[2023-12-21 05:48:26,113][INFO] --epoch 124 loss 0.008166873792652041
[2023-12-21 05:48:26,170][INFO] --epoch 125 loss 0.006456135190092027
[2023-12-21 05:48:26,227][INFO] --epoch 126 loss 0.005175164871616289
[2023-12-21 05:48:26,284][INFO] --epoch 127 loss 0.005547351005952805
[2023-12-21 05:48:26,343][INFO] --epoch 128 loss 0.005033967521740124
[2023-12-21 05:48:26,399][INFO] --epoch 129 loss 0.0076745482161641124
[2023-12-21 05:48:26,455][INFO] --epoch 130 loss 0.0060577779076993465
[2023-12-21 05:48:26,513][INFO] --epoch 131 loss 0.005398502544267103
[2023-12-21 05:48:26,572][INFO] --epoch 132 loss 0.005694044358097017
[2023-12-21 05:48:26,628][INFO] --epoch 133 loss 0.005068998446222395
[2023-12-21 05:48:26,684][INFO] --epoch 134 loss 0.0043273685674648735
[2023-12-21 05:48:26,742][INFO] --epoch 135 loss 0.00411114365560934
[2023-12-21 05:48:26,798][INFO] --epoch 136 loss 0.003618921572342515
[2023-12-21 05:48:26,854][INFO] --epoch 137 loss 0.0032844226341694595
[2023-12-21 05:48:26,910][INFO] --epoch 138 loss 0.0031833708402700723
[2023-12-21 05:48:26,967][INFO] --epoch 139 loss 0.003113237040815875
[2023-12-21 05:48:27,023][INFO] --epoch 140 loss 0.0032722974137868732
[2023-12-21 05:48:27,080][INFO] --epoch 141 loss 0.0033167769375722854
[2023-12-21 05:48:27,139][INFO] --epoch 142 loss 0.0032076721312478186
[2023-12-21 05:48:27,197][INFO] --epoch 143 loss 0.0031574916909448804
[2023-12-21 05:48:27,257][INFO] --epoch 144 loss 0.003128093050327152
[2023-12-21 05:48:27,315][INFO] --epoch 145 loss 0.0031177379772998393
[2023-12-21 05:48:27,374][INFO] --epoch 146 loss 0.0031157893186900764
[2023-12-21 05:48:27,431][INFO] --epoch 147 loss 0.003089642780832946
[2023-12-21 05:48:27,488][INFO] --epoch 148 loss 0.0030796010338235646
[2023-12-21 05:48:27,544][INFO] --epoch 149 loss 0.0030794229416642336
[2023-12-21 05:48:27,602][INFO] --epoch 150 loss 0.0030781537177972497
[2023-12-21 05:48:27,658][INFO] --epoch 151 loss 0.0030782055750023575
[2023-12-21 05:48:27,715][INFO] --epoch 152 loss 0.0030851347954012455
[2023-12-21 05:48:27,773][INFO] --epoch 153 loss 0.0030785894312430175
[2023-12-21 05:48:27,830][INFO] --epoch 154 loss 0.0030695659457705914
[2023-12-21 05:48:27,886][INFO] --epoch 155 loss 0.003087258414598182
[2023-12-21 05:48:27,942][INFO] --epoch 156 loss 0.003097978886216879
[2023-12-21 05:48:28,000][INFO] --epoch 157 loss 0.0030942277342546733
[2023-12-21 05:48:28,057][INFO] --epoch 158 loss 0.003075631707906723
[2023-12-21 05:48:28,116][INFO] --epoch 159 loss 0.0029293317871633916
[2023-12-21 05:48:28,173][INFO] --epoch 160 loss 0.002933538798242807
[2023-12-21 05:48:28,230][INFO] --epoch 161 loss 0.0037076598673593253
[2023-12-21 05:48:28,286][INFO] --epoch 162 loss 0.003319834708236158
[2023-12-21 05:48:28,344][INFO] --epoch 163 loss 0.0031614460167475045
[2023-12-21 05:48:28,402][INFO] --epoch 164 loss 0.0030021994665730745
[2023-12-21 05:48:28,458][INFO] --epoch 165 loss 0.00286121653043665
[2023-12-21 05:48:28,515][INFO] --epoch 166 loss 0.002942133735632524
[2023-12-21 05:48:28,572][INFO] --epoch 167 loss 0.002987438882701099
[2023-12-21 05:48:28,629][INFO] --epoch 168 loss 0.003160204429877922
[2023-12-21 05:48:28,685][INFO] --epoch 169 loss 0.0030408827267820017
[2023-12-21 05:48:28,742][INFO] --epoch 170 loss 0.0032329962879884986
[2023-12-21 05:48:28,799][INFO] --epoch 171 loss 0.0034136991016566753
[2023-12-21 05:48:28,855][INFO] --epoch 172 loss 0.0035173692798707635
[2023-12-21 05:48:28,913][INFO] --epoch 173 loss 0.003484500088961795
[2023-12-21 05:48:28,970][INFO] --epoch 174 loss 0.003472648953902535
[2023-12-21 05:48:29,028][INFO] --epoch 175 loss 0.00488460081978701
[2023-12-21 05:48:29,086][INFO] --epoch 176 loss 0.003278791130287573
[2023-12-21 05:48:29,142][INFO] --epoch 177 loss 0.003897625982062891
[2023-12-21 05:48:29,198][INFO] --epoch 178 loss 0.003930315299658105
[2023-12-21 05:48:29,254][INFO] --epoch 179 loss 0.005540039407787844
[2023-12-21 05:48:29,311][INFO] --epoch 180 loss 0.004835538275074214
[2023-12-21 05:48:29,369][INFO] --epoch 181 loss 0.006040995696093887
[2023-12-21 05:48:29,425][INFO] --epoch 182 loss 0.005049489901284687
[2023-12-21 05:48:29,481][INFO] --epoch 183 loss 0.004236488812603056
[2023-12-21 05:48:29,537][INFO] --epoch 184 loss 0.0063076697464566674
[2023-12-21 05:48:29,593][INFO] --epoch 185 loss 0.0076632398879155515
[2023-12-21 05:48:29,649][INFO] --epoch 186 loss 0.020204911363543944
[2023-12-21 05:48:29,705][INFO] --epoch 187 loss 0.026035824496648274
[2023-12-21 05:48:29,761][INFO] --epoch 188 loss 0.020214461290743203
[2023-12-21 05:48:29,818][INFO] --epoch 189 loss 0.03889233684167266
[2023-12-21 05:48:29,875][INFO] --epoch 190 loss 0.008918799844104796
[2023-12-21 05:48:29,934][INFO] --epoch 191 loss 0.008411662821890787
[2023-12-21 05:48:29,992][INFO] --epoch 192 loss 0.006745541380951181
[2023-12-21 05:48:30,048][INFO] --epoch 193 loss 0.02291334648616612
[2023-12-21 05:48:30,105][INFO] --epoch 194 loss 0.007681987155228854
[2023-12-21 05:48:30,163][INFO] --epoch 195 loss 0.015347433276474476
[2023-12-21 05:48:30,221][INFO] --epoch 196 loss 0.007463316840585321
[2023-12-21 05:48:30,278][INFO] --epoch 197 loss 0.011047502286965027
[2023-12-21 05:48:30,335][INFO] --epoch 198 loss 0.15239230588776992
[2023-12-21 05:48:30,444][INFO] --epoch 199 loss 0.013985591288655997
[2023-12-21 05:48:30,444][INFO] --adv training finished
[2023-12-21 05:48:30,463][INFO] --evaluate the adv training net on testset
[2023-12-21 05:48:30,464][INFO] --For testset, out of 10000 items, ratio 0.9561
[2023-12-21 05:48:30,464][INFO] --test the defense against autoattack
[2023-12-21 05:48:34,761][INFO] correct1 3
[2023-12-21 05:48:35,465][INFO] correct2 28
[2023-12-21 05:48:35,775][INFO] correct3 0
[2023-12-21 05:48:40,084][INFO] correct1 1
[2023-12-21 05:48:40,799][INFO] correct2 32
[2023-12-21 05:48:41,115][INFO] correct3 0
[2023-12-21 05:48:45,424][INFO] correct1 6
[2023-12-21 05:48:47,451][INFO] correct2 30
[2023-12-21 05:48:47,770][INFO] correct3 0
[2023-12-21 05:48:52,187][INFO] correct1 2
[2023-12-21 05:48:52,937][INFO] correct2 30
[2023-12-21 05:48:53,270][INFO] correct3 0
[2023-12-21 05:48:57,748][INFO] correct1 8
[2023-12-21 05:48:58,966][INFO] correct2 28
[2023-12-21 05:48:59,782][INFO] correct3 0
[2023-12-21 05:49:04,136][INFO] correct1 4
[2023-12-21 05:49:04,841][INFO] correct2 32
[2023-12-21 05:49:05,171][INFO] correct3 0
[2023-12-21 05:49:09,440][INFO] correct1 3
[2023-12-21 05:49:10,150][INFO] correct2 32
[2023-12-21 05:49:10,480][INFO] correct3 0
[2023-12-21 05:49:14,807][INFO] correct1 3
[2023-12-21 05:49:15,542][INFO] correct2 29
[2023-12-21 05:49:15,865][INFO] correct3 0
[2023-12-21 05:49:20,267][INFO] correct1 3
[2023-12-21 05:49:21,468][INFO] correct2 29
[2023-12-21 05:49:22,271][INFO] correct3 0
[2023-12-21 05:49:26,919][INFO] correct1 6
[2023-12-21 05:49:28,574][INFO] correct2 31
[2023-12-21 05:49:29,871][INFO] correct3 0
[2023-12-21 05:49:30,222][INFO] correct1 0
[2023-12-21 05:49:30,973][INFO] correct2 29
[2023-12-21 05:49:31,294][INFO] correct3 0
[2023-12-21 05:49:35,574][INFO] correct1 2
[2023-12-21 05:49:36,306][INFO] correct2 32
[2023-12-21 05:49:36,627][INFO] correct3 0
[2023-12-21 05:49:41,206][INFO] correct1 7
[2023-12-21 05:49:41,924][INFO] correct2 30
[2023-12-21 05:49:42,258][INFO] correct3 0
[2023-12-21 05:49:46,678][INFO] correct1 2
[2023-12-21 05:49:48,846][INFO] correct2 31
[2023-12-21 05:49:50,593][INFO] correct3 0
[2023-12-21 05:49:54,983][INFO] correct1 3
[2023-12-21 05:49:56,268][INFO] correct2 31
[2023-12-21 05:49:57,048][INFO] correct3 0
[2023-12-21 05:50:01,303][INFO] correct1 3
[2023-12-21 05:50:02,949][INFO] correct2 30
[2023-12-21 05:50:04,213][INFO] correct3 0
[2023-12-21 05:50:08,327][INFO] correct1 2
[2023-12-21 05:50:09,519][INFO] correct2 31
[2023-12-21 05:50:10,301][INFO] correct3 0
[2023-12-21 05:50:11,082][INFO] correct1 0
[2023-12-21 05:50:11,793][INFO] correct2 31
[2023-12-21 05:50:12,124][INFO] correct3 0
[2023-12-21 05:50:16,431][INFO] correct1 3
[2023-12-21 05:50:17,124][INFO] correct2 30
[2023-12-21 05:50:17,447][INFO] correct3 0
[2023-12-21 05:50:21,863][INFO] correct1 3
[2023-12-21 05:50:23,543][INFO] correct2 30
[2023-12-21 05:50:24,355][INFO] correct3 0
[2023-12-21 05:50:28,681][INFO] correct1 3
[2023-12-21 05:50:29,406][INFO] correct2 28
[2023-12-21 05:50:29,740][INFO] correct3 0
[2023-12-21 05:50:30,589][INFO] correct1 0
[2023-12-21 05:50:31,311][INFO] correct2 30
[2023-12-21 05:50:32,128][INFO] correct3 0
[2023-12-21 05:50:36,447][INFO] correct1 2
[2023-12-21 05:50:37,186][INFO] correct2 28
[2023-12-21 05:50:37,516][INFO] correct3 0
[2023-12-21 05:50:41,696][INFO] correct1 1
[2023-12-21 05:50:42,421][INFO] correct2 31
[2023-12-21 05:50:42,746][INFO] correct3 0
[2023-12-21 05:50:47,220][INFO] correct1 3
[2023-12-21 05:50:47,952][INFO] correct2 32
[2023-12-21 05:50:48,280][INFO] correct3 0
[2023-12-21 05:50:52,938][INFO] correct1 4
[2023-12-21 05:50:54,371][INFO] correct2 32
[2023-12-21 05:50:55,189][INFO] correct3 0
[2023-12-21 05:50:56,339][INFO] correct1 0
[2023-12-21 05:50:57,213][INFO] correct2 30
[2023-12-21 05:50:57,639][INFO] correct3 0
[2023-12-21 05:51:03,490][INFO] correct1 6
[2023-12-21 05:51:04,280][INFO] correct2 30
[2023-12-21 05:51:04,653][INFO] correct3 0
[2023-12-21 05:51:09,941][INFO] correct1 6
[2023-12-21 05:51:11,774][INFO] correct2 31
[2023-12-21 05:51:13,284][INFO] correct3 0
[2023-12-21 05:51:14,406][INFO] correct1 0
[2023-12-21 05:51:15,365][INFO] correct2 27
[2023-12-21 05:51:15,809][INFO] correct3 0
[2023-12-21 05:51:21,886][INFO] correct1 4
[2023-12-21 05:51:23,176][INFO] correct2 30
[2023-12-21 05:51:24,282][INFO] correct3 0
[2023-12-21 05:51:29,803][INFO] correct1 3
[2023-12-21 05:51:32,031][INFO] correct2 31
[2023-12-21 05:51:33,765][INFO] correct3 0
[2023-12-21 05:51:39,180][INFO] correct1 4
[2023-12-21 05:51:41,411][INFO] correct2 30
[2023-12-21 05:51:43,673][INFO] correct3 0
[2023-12-21 05:51:48,889][INFO] correct1 3
[2023-12-21 05:51:50,926][INFO] correct2 29
[2023-12-21 05:51:52,700][INFO] correct3 0
[2023-12-21 05:51:58,662][INFO] correct1 3
[2023-12-21 05:51:59,513][INFO] correct2 30
[2023-12-21 05:51:59,831][INFO] correct3 0
[2023-12-21 05:52:04,870][INFO] correct1 2
[2023-12-21 05:52:05,626][INFO] correct2 30
[2023-12-21 05:52:05,916][INFO] correct3 0
[2023-12-21 05:52:11,269][INFO] correct1 2
[2023-12-21 05:52:12,198][INFO] correct2 29
[2023-12-21 05:52:12,640][INFO] correct3 0
[2023-12-21 05:52:18,268][INFO] correct1 4
[2023-12-21 05:52:19,112][INFO] correct2 32
[2023-12-21 05:52:19,543][INFO] correct3 0
[2023-12-21 05:52:24,414][INFO] correct1 1
[2023-12-21 05:52:25,377][INFO] correct2 28
[2023-12-21 05:52:25,778][INFO] correct3 0
[2023-12-21 05:52:30,310][INFO] correct1 1
[2023-12-21 05:52:31,509][INFO] correct2 30
[2023-12-21 05:52:31,844][INFO] correct3 0
[2023-12-21 05:52:36,026][INFO] correct1 2
[2023-12-21 05:52:36,724][INFO] correct2 29
[2023-12-21 05:52:37,050][INFO] correct3 0
[2023-12-21 05:52:41,489][INFO] correct1 2
[2023-12-21 05:52:42,723][INFO] correct2 30
[2023-12-21 05:52:43,063][INFO] correct3 0
[2023-12-21 05:52:47,338][INFO] correct1 2
[2023-12-21 05:52:48,056][INFO] correct2 31
[2023-12-21 05:52:48,378][INFO] correct3 0
[2023-12-21 05:52:52,966][INFO] correct1 5
[2023-12-21 05:52:53,671][INFO] correct2 31
[2023-12-21 05:52:53,993][INFO] correct3 0
[2023-12-21 05:52:58,309][INFO] correct1 4
[2023-12-21 05:52:59,033][INFO] correct2 31
[2023-12-21 05:52:59,365][INFO] correct3 0
[2023-12-21 05:53:03,580][INFO] correct1 1
[2023-12-21 05:53:04,291][INFO] correct2 30
[2023-12-21 05:53:04,615][INFO] correct3 0
[2023-12-21 05:53:08,894][INFO] correct1 2
[2023-12-21 05:53:09,603][INFO] correct2 31
[2023-12-21 05:53:09,928][INFO] correct3 0
[2023-12-21 05:53:14,119][INFO] correct1 2
[2023-12-21 05:53:14,823][INFO] correct2 28
[2023-12-21 05:53:15,145][INFO] correct3 0
[2023-12-21 05:53:19,356][INFO] correct1 1
[2023-12-21 05:53:20,076][INFO] correct2 29
[2023-12-21 05:53:20,415][INFO] correct3 0
[2023-12-21 05:53:24,713][INFO] correct1 4
[2023-12-21 05:53:25,430][INFO] correct2 30
[2023-12-21 05:53:26,229][INFO] correct3 0
[2023-12-21 05:53:30,738][INFO] correct1 5
[2023-12-21 05:53:31,463][INFO] correct2 30
[2023-12-21 05:53:31,797][INFO] correct3 0
[2023-12-21 05:53:36,049][INFO] correct1 1
[2023-12-21 05:53:36,788][INFO] correct2 29
[2023-12-21 05:53:37,130][INFO] correct3 0
[2023-12-21 05:53:37,952][INFO] correct1 0
[2023-12-21 05:53:38,684][INFO] correct2 30
[2023-12-21 05:53:39,505][INFO] correct3 0
[2023-12-21 05:53:43,926][INFO] correct1 4
[2023-12-21 05:53:44,659][INFO] correct2 30
[2023-12-21 05:53:44,952][INFO] correct3 0
[2023-12-21 05:53:49,125][INFO] correct1 1
[2023-12-21 05:53:50,309][INFO] correct2 30
[2023-12-21 05:53:50,683][INFO] correct3 0
[2023-12-21 05:53:54,870][INFO] correct1 1
[2023-12-21 05:53:55,563][INFO] correct2 30
[2023-12-21 05:53:55,885][INFO] correct3 0
[2023-12-21 05:54:00,153][INFO] correct1 2
[2023-12-21 05:54:00,855][INFO] correct2 30
[2023-12-21 05:54:01,178][INFO] correct3 0
[2023-12-21 05:54:05,411][INFO] correct1 2
[2023-12-21 05:54:06,081][INFO] correct2 31
[2023-12-21 05:54:06,384][INFO] correct3 0
[2023-12-21 05:54:11,353][INFO] correct1 2
[2023-12-21 05:54:12,524][INFO] correct2 32
[2023-12-21 05:54:13,310][INFO] correct3 0
[2023-12-21 05:54:17,799][INFO] correct1 4
[2023-12-21 05:54:19,571][INFO] correct2 28
[2023-12-21 05:54:20,890][INFO] correct3 0
[2023-12-21 05:54:25,186][INFO] correct1 3
[2023-12-21 05:54:25,899][INFO] correct2 29
[2023-12-21 05:54:26,218][INFO] correct3 0
[2023-12-21 05:54:30,637][INFO] correct1 4
