[2023-12-21 15:35:03,225][INFO] 
===== FNN_big-0.1-1000-small-2023-12-21-15-35-03 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982f70>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
[2023-12-21 15:35:27,789][INFO] --epoch 164 loss 0.0003718475005371147
[2023-12-21 15:35:27,905][INFO] --epoch 165 loss 0.0003217007923012716
[2023-12-21 15:35:28,027][INFO] --epoch 166 loss 0.0002857107097952394
[2023-12-21 15:35:28,153][INFO] --epoch 167 loss 0.00029536040792663696
[2023-12-21 15:35:28,278][INFO] --epoch 168 loss 0.0003650663718872238
[2023-12-21 15:35:28,400][INFO] --epoch 169 loss 0.00027399444497859803
[2023-12-21 15:35:28,519][INFO] --epoch 170 loss 0.00022105258794908879
[2023-12-21 15:35:28,646][INFO] --epoch 171 loss 0.0002128204723703675
[2023-12-21 15:35:28,774][INFO] --epoch 172 loss 0.0002025088457230595
[2023-12-21 15:35:28,902][INFO] --epoch 173 loss 0.00017150451781162702
[2023-12-21 15:35:29,024][INFO] --epoch 174 loss 0.002686068160664945
[2023-12-21 15:35:29,136][INFO] --epoch 175 loss 0.00022349528799168184
[2023-12-21 15:35:29,260][INFO] --epoch 176 loss 0.0010775425324936806
[2023-12-21 15:35:29,381][INFO] --epoch 177 loss 0.0002501458689948777
[2023-12-21 15:35:29,505][INFO] --epoch 178 loss 0.0002715639308007667
[2023-12-21 15:35:29,626][INFO] --epoch 179 loss 0.008870459986428613
[2023-12-21 15:35:29,744][INFO] --epoch 180 loss 0.0023793637806193146
[2023-12-21 15:35:29,867][INFO] --epoch 181 loss 0.0013895567158215272
[2023-12-21 15:35:29,992][INFO] --epoch 182 loss 0.0009724903255118988
[2023-12-21 15:35:30,115][INFO] --epoch 183 loss 0.0007694125254602113
[2023-12-21 15:35:30,243][INFO] --epoch 184 loss 0.01540352292940952
[2023-12-21 15:35:30,372][INFO] --epoch 185 loss 0.004277760648619733
[2023-12-21 15:35:30,508][INFO] --epoch 186 loss 0.0015462625126019703
[2023-12-21 15:35:30,639][INFO] --epoch 187 loss 0.0007488475566788111
[2023-12-21 15:35:30,772][INFO] --epoch 188 loss 0.011307371100338059
[2023-12-21 15:35:30,896][INFO] --epoch 189 loss 0.0010932016015431146
[2023-12-21 15:35:31,032][INFO] --epoch 190 loss 0.03136665378224279
[2023-12-21 15:35:31,169][INFO] --epoch 191 loss 0.005548487320629647
[2023-12-21 15:35:31,294][INFO] --epoch 192 loss 0.08429582508979365
[2023-12-21 15:35:31,431][INFO] --epoch 193 loss 0.003413739726238418
[2023-12-21 15:35:31,562][INFO] --epoch 194 loss 0.009732007844286272
[2023-12-21 15:35:31,693][INFO] --epoch 195 loss 0.0014754223324416672
[2023-12-21 15:35:31,822][INFO] --epoch 196 loss 0.004690577970904997
[2023-12-21 15:35:31,950][INFO] --epoch 197 loss 0.0019094160928943894
[2023-12-21 15:35:32,081][INFO] --epoch 198 loss 0.005469960239133797
[2023-12-21 15:35:32,207][INFO] --epoch 199 loss 0.002647723880363628
[2023-12-21 15:35:32,207][INFO] --adv training finished
[2023-12-21 15:35:32,226][INFO] --evaluate the adv training net on testset
[2023-12-21 15:35:32,227][INFO] --For testset, out of 10000 items, ratio 0.9886
[2023-12-21 15:35:32,227][INFO] --test the defense against autoattack
[2023-12-21 15:35:34,683][INFO] correct1 0
[2023-12-21 15:35:35,581][INFO] correct2 32
[2023-12-21 15:35:36,221][INFO] correct3 0
[2023-12-21 15:35:39,541][INFO] correct1 1
[2023-12-21 15:35:41,546][INFO] correct2 32
[2023-12-21 15:35:42,813][INFO] correct3 0
[2023-12-21 15:35:46,139][INFO] correct1 6
[2023-12-21 15:35:47,745][INFO] correct2 32
[2023-12-21 15:35:48,676][INFO] correct3 0
[2023-12-21 15:35:52,269][INFO] correct1 5
[2023-12-21 15:35:53,238][INFO] correct2 30
[2023-12-21 15:35:53,493][INFO] correct3 0
[2023-12-21 15:35:57,329][INFO] correct1 5
[2023-12-21 15:35:59,113][INFO] correct2 31
[2023-12-21 15:36:00,131][INFO] correct3 0
[2023-12-21 15:36:03,524][INFO] correct1 5
[2023-12-21 15:36:05,967][INFO] correct2 32
[2023-12-21 15:36:07,825][INFO] correct3 0
[2023-12-21 15:36:11,800][INFO] correct1 2
[2023-12-21 15:36:13,895][INFO] correct2 31
[2023-12-21 15:36:15,214][INFO] correct3 0
[2023-12-21 15:36:19,824][INFO] correct1 2
[2023-12-21 15:36:21,009][INFO] correct2 30
[2023-12-21 15:36:21,326][INFO] correct3 0
[2023-12-21 15:36:25,358][INFO] correct1 1
[2023-12-21 15:36:27,008][INFO] correct2 30
[2023-12-21 15:36:27,823][INFO] correct3 0
[2023-12-21 15:36:32,140][INFO] correct1 1
[2023-12-21 15:36:36,851][INFO] correct2 31
[2023-12-21 15:36:41,233][INFO] correct3 1
[2023-12-21 15:36:42,503][INFO] correct1 0
[2023-12-21 15:36:43,606][INFO] correct2 31
[2023-12-21 15:36:43,911][INFO] correct3 0
[2023-12-21 15:36:48,039][INFO] correct1 3
[2023-12-21 15:36:49,710][INFO] correct2 31
[2023-12-21 15:36:50,574][INFO] correct3 0
[2023-12-21 15:36:54,992][INFO] correct1 3
[2023-12-21 15:36:56,598][INFO] correct2 31
[2023-12-21 15:36:57,192][INFO] correct3 0
[2023-12-21 15:37:00,510][INFO] correct1 2
[2023-12-21 15:37:01,477][INFO] correct2 31
[2023-12-21 15:37:01,725][INFO] correct3 0
[2023-12-21 15:37:05,245][INFO] correct1 5
[2023-12-21 15:37:08,306][INFO] correct2 30
[2023-12-21 15:37:10,664][INFO] correct3 0
[2023-12-21 15:37:14,101][INFO] correct1 4
[2023-12-21 15:37:18,095][INFO] correct2 31
[2023-12-21 15:37:21,428][INFO] correct3 1
[2023-12-21 15:37:24,860][INFO] correct1 1
[2023-12-21 15:37:26,593][INFO] correct2 32
[2023-12-21 15:37:27,566][INFO] correct3 0
[2023-12-21 15:37:31,248][INFO] correct1 3
[2023-12-21 15:37:32,643][INFO] correct2 32
[2023-12-21 15:37:33,305][INFO] correct3 0
[2023-12-21 15:37:36,990][INFO] correct1 4
[2023-12-21 15:37:38,420][INFO] correct2 30
[2023-12-21 15:37:39,101][INFO] correct3 0
[2023-12-21 15:37:42,553][INFO] correct1 2
[2023-12-21 15:37:43,897][INFO] correct2 30
[2023-12-21 15:37:44,510][INFO] correct3 0
[2023-12-21 15:37:47,889][INFO] correct1 3
[2023-12-21 15:37:51,846][INFO] correct2 30
[2023-12-21 15:37:55,347][INFO] correct3 1
[2023-12-21 15:37:57,176][INFO] correct1 0
[2023-12-21 15:37:58,109][INFO] correct2 31
[2023-12-21 15:37:58,375][INFO] correct3 0
[2023-12-21 15:38:01,879][INFO] correct1 2
[2023-12-21 15:38:03,542][INFO] correct2 29
[2023-12-21 15:38:04,550][INFO] correct3 0
[2023-12-21 15:38:07,907][INFO] correct1 3
[2023-12-21 15:38:08,837][INFO] correct2 31
[2023-12-21 15:38:09,087][INFO] correct3 0
[2023-12-21 15:38:12,610][INFO] correct1 7
[2023-12-21 15:38:15,005][INFO] correct2 32
[2023-12-21 15:38:16,684][INFO] correct3 0
[2023-12-21 15:38:20,214][INFO] correct1 6
[2023-12-21 15:38:22,359][INFO] correct2 32
[2023-12-21 15:38:23,678][INFO] correct3 0
[2023-12-21 15:38:27,168][INFO] correct1 1
[2023-12-21 15:38:28,634][INFO] correct2 31
[2023-12-21 15:38:29,284][INFO] correct3 0
[2023-12-21 15:38:32,741][INFO] correct1 2
[2023-12-21 15:38:34,489][INFO] correct2 30
[2023-12-21 15:38:35,511][INFO] correct3 0
[2023-12-21 15:38:38,953][INFO] correct1 4
[2023-12-21 15:38:40,261][INFO] correct2 30
[2023-12-21 15:38:40,870][INFO] correct3 0
[2023-12-21 15:38:44,272][INFO] correct1 1
[2023-12-21 15:38:48,564][INFO] correct2 29
[2023-12-21 15:38:52,113][INFO] correct3 1
[2023-12-21 15:38:55,536][INFO] correct1 5
[2023-12-21 15:38:56,871][INFO] correct2 31
[2023-12-21 15:38:57,521][INFO] correct3 0
[2023-12-21 15:39:00,983][INFO] correct1 4
[2023-12-21 15:39:05,137][INFO] correct2 31
[2023-12-21 15:39:08,670][INFO] correct3 1
[2023-12-21 15:39:12,240][INFO] correct1 2
[2023-12-21 15:39:14,025][INFO] correct2 30
[2023-12-21 15:39:15,047][INFO] correct3 0
[2023-12-21 15:39:18,395][INFO] correct1 2
[2023-12-21 15:39:20,167][INFO] correct2 32
[2023-12-21 15:39:20,776][INFO] correct3 0
[2023-12-21 15:39:24,138][INFO] correct1 2
[2023-12-21 15:39:28,415][INFO] correct2 31
[2023-12-21 15:39:31,758][INFO] correct3 1
[2023-12-21 15:39:32,360][INFO] correct1 0
[2023-12-21 15:39:33,258][INFO] correct2 31
[2023-12-21 15:39:33,505][INFO] correct3 0
[2023-12-21 15:39:36,867][INFO] correct1 4
[2023-12-21 15:39:37,810][INFO] correct2 30
[2023-12-21 15:39:38,053][INFO] correct3 0
[2023-12-21 15:39:41,433][INFO] correct1 3
[2023-12-21 15:39:42,779][INFO] correct2 32
[2023-12-21 15:39:43,791][INFO] correct3 0
[2023-12-21 15:39:45,450][INFO] correct1 0
[2023-12-21 15:39:46,350][INFO] correct2 27
[2023-12-21 15:39:46,603][INFO] correct3 0
[2023-12-21 15:39:49,941][INFO] correct1 1
[2023-12-21 15:39:50,888][INFO] correct2 32
[2023-12-21 15:39:51,139][INFO] correct3 0
[2023-12-21 15:39:54,674][INFO] correct1 1
[2023-12-21 15:39:55,630][INFO] correct2 29
[2023-12-21 15:39:55,907][INFO] correct3 0
[2023-12-21 15:40:00,017][INFO] correct1 1
[2023-12-21 15:40:04,025][INFO] correct2 30
[2023-12-21 15:40:07,316][INFO] correct3 1
[2023-12-21 15:40:09,147][INFO] correct1 0
[2023-12-21 15:40:10,895][INFO] correct2 31
[2023-12-21 15:40:11,967][INFO] correct3 0
[2023-12-21 15:40:15,419][INFO] correct1 6
[2023-12-21 15:40:19,477][INFO] correct2 31
[2023-12-21 15:40:22,863][INFO] correct3 1
[2023-12-21 15:40:26,618][INFO] correct1 3
[2023-12-21 15:40:27,547][INFO] correct2 30
[2023-12-21 15:40:27,819][INFO] correct3 0
[2023-12-21 15:40:31,204][INFO] correct1 1
[2023-12-21 15:40:33,208][INFO] correct2 32
[2023-12-21 15:40:34,616][INFO] correct3 0
[2023-12-21 15:40:38,168][INFO] correct1 6
[2023-12-21 15:40:39,896][INFO] correct2 32
[2023-12-21 15:40:40,904][INFO] correct3 0
[2023-12-21 15:40:44,301][INFO] correct1 1
[2023-12-21 15:40:45,241][INFO] correct2 29
[2023-12-21 15:40:45,495][INFO] correct3 0
[2023-12-21 15:40:46,811][INFO] correct1 0
[2023-12-21 15:40:48,101][INFO] correct2 31
[2023-12-21 15:40:48,729][INFO] correct3 0
[2023-12-21 15:40:52,223][INFO] correct1 4
[2023-12-21 15:40:53,989][INFO] correct2 32
[2023-12-21 15:40:55,028][INFO] correct3 0
[2023-12-21 15:40:58,575][INFO] correct1 6
[2023-12-21 15:40:59,949][INFO] correct2 31
[2023-12-21 15:41:00,583][INFO] correct3 0
[2023-12-21 15:41:03,794][INFO] correct1 1
[2023-12-21 15:41:04,687][INFO] correct2 32
[2023-12-21 15:41:04,934][INFO] correct3 0
[2023-12-21 15:41:08,212][INFO] correct1 1
[2023-12-21 15:41:09,594][INFO] correct2 30
[2023-12-21 15:41:10,239][INFO] correct3 0
[2023-12-21 15:41:13,728][INFO] correct1 2
[2023-12-21 15:41:14,725][INFO] correct2 31
[2023-12-21 15:41:14,992][INFO] correct3 0
[2023-12-21 15:41:18,408][INFO] correct1 2
[2023-12-21 15:41:19,807][INFO] correct2 31
[2023-12-21 15:41:20,429][INFO] correct3 0
[2023-12-21 15:41:23,934][INFO] correct1 2
[2023-12-21 15:41:24,868][INFO] correct2 31
[2023-12-21 15:41:25,118][INFO] correct3 0
[2023-12-21 15:41:28,460][INFO] correct1 1
[2023-12-21 15:41:30,175][INFO] correct2 32
[2023-12-21 15:41:31,153][INFO] correct3 0
[2023-12-21 15:41:34,568][INFO] correct1 3
[2023-12-21 15:41:36,232][INFO] correct2 31
[2023-12-21 15:41:37,170][INFO] correct3 0
[2023-12-21 15:41:37,772][INFO] correct1 0
[2023-12-21 15:41:41,694][INFO] correct2 31
[2023-12-21 15:41:44,960][INFO] correct3 1
[2023-12-21 15:41:48,468][INFO] correct1 4
[2023-12-21 15:41:52,600][INFO] correct2 31
[2023-12-21 15:41:54,315][INFO] correct3 0
[2023-12-21 15:41:57,819][INFO] correct1 2
[2023-12-21 15:41:59,546][INFO] correct2 31
