[2024-11-26 06:14:28,942][INFO] 
===== vgg19-8-feature-500-2024-11-26-06-14-28 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0008
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 8
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7cc451f08700>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7cc451f8a160>
[2024-11-26 06:33:12,799][INFO] --PGD sample 21 image
[2024-11-26 06:33:22,195][INFO] --PGD sample 22 image
[2024-11-26 06:33:31,584][INFO] --PGD sample 23 image
[2024-11-26 06:33:40,978][INFO] --PGD sample 24 image
[2024-11-26 06:33:50,375][INFO] --PGD sample 25 image
[2024-11-26 06:33:59,781][INFO] --PGD sample 26 image
[2024-11-26 06:34:09,181][INFO] --PGD sample 27 image
[2024-11-26 06:34:18,550][INFO] --PGD sample 28 image
[2024-11-26 06:34:27,907][INFO] --PGD sample 29 image
[2024-11-26 06:34:37,262][INFO] --PGD sample 30 image
[2024-11-26 06:34:46,623][INFO] --PGD sample 31 image
[2024-11-26 06:34:55,963][INFO] --PGD sample 32 image
[2024-11-26 06:35:05,313][INFO] --PGD sample 33 image
[2024-11-26 06:35:14,668][INFO] --PGD sample 34 image
[2024-11-26 06:35:24,022][INFO] --PGD sample 35 image
[2024-11-26 06:35:33,372][INFO] --PGD sample 36 image
[2024-11-26 06:35:42,737][INFO] --PGD sample 37 image
[2024-11-26 06:35:52,092][INFO] --PGD sample 38 image
[2024-11-26 06:36:01,450][INFO] --PGD sample 39 image
[2024-11-26 06:36:10,853][INFO] --PGD sample 40 image
[2024-11-26 06:36:20,267][INFO] --PGD sample 41 image
[2024-11-26 06:36:29,696][INFO] --PGD sample 42 image
[2024-11-26 06:36:39,113][INFO] --PGD sample 43 image
[2024-11-26 06:36:48,554][INFO] --PGD sample 44 image
[2024-11-26 06:36:57,977][INFO] --PGD sample 45 image
[2024-11-26 06:37:07,412][INFO] --PGD sample 46 image
[2024-11-26 06:37:16,844][INFO] --PGD sample 47 image
[2024-11-26 06:37:26,272][INFO] --PGD sample 48 image
[2024-11-26 06:37:35,707][INFO] --PGD sample 49 image
[2024-11-26 06:37:45,123][INFO] --PGD sample 50 image
[2024-11-26 06:37:54,477][INFO] --PGD sample 51 image
[2024-11-26 06:38:03,869][INFO] --PGD sample 52 image
[2024-11-26 06:38:13,244][INFO] --PGD sample 53 image
[2024-11-26 06:38:22,618][INFO] --PGD sample 54 image
[2024-11-26 06:38:31,989][INFO] --PGD sample 55 image
[2024-11-26 06:38:41,274][INFO] --PGD sample 56 image
[2024-11-26 06:38:50,590][INFO] --PGD sample 57 image
[2024-11-26 06:38:59,972][INFO] --PGD sample 58 image
[2024-11-26 06:39:09,356][INFO] --PGD sample 59 image
[2024-11-26 06:39:18,738][INFO] --PGD sample 60 image
[2024-11-26 06:39:28,127][INFO] --PGD sample 61 image
[2024-11-26 06:39:37,518][INFO] --PGD sample 62 image
[2024-11-26 06:39:46,896][INFO] --PGD sample 63 image
[2024-11-26 06:39:56,282][INFO] --PGD sample 64 image
[2024-11-26 06:40:05,685][INFO] --PGD sample 65 image
[2024-11-26 06:40:15,080][INFO] --PGD sample 66 image
[2024-11-26 06:40:24,436][INFO] --PGD sample 67 image
[2024-11-26 06:40:33,841][INFO] --PGD sample 68 image
[2024-11-26 06:40:43,245][INFO] --PGD sample 69 image
[2024-11-26 06:40:52,672][INFO] --PGD sample 70 image
[2024-11-26 06:41:02,092][INFO] --PGD sample 71 image
[2024-11-26 06:41:11,515][INFO] --PGD sample 72 image
[2024-11-26 06:41:20,945][INFO] --PGD sample 73 image
[2024-11-26 06:41:30,358][INFO] --PGD sample 74 image
[2024-11-26 06:41:39,794][INFO] --PGD sample 75 image
[2024-11-26 06:41:49,225][INFO] --PGD sample 76 image
[2024-11-26 06:41:58,655][INFO] --PGD sample 77 image
[2024-11-26 06:42:08,093][INFO] --PGD sample 78 image
[2024-11-26 06:42:17,517][INFO] --PGD sample 79 image
[2024-11-26 06:42:26,940][INFO] --PGD sample 80 image
[2024-11-26 06:42:36,362][INFO] --PGD sample 81 image
[2024-11-26 06:42:45,789][INFO] --PGD sample 82 image
[2024-11-26 06:42:55,217][INFO] --PGD sample 83 image
[2024-11-26 06:43:04,643][INFO] --PGD sample 84 image
[2024-11-26 06:43:14,073][INFO] --PGD sample 85 image
[2024-11-26 06:43:23,506][INFO] --PGD sample 86 image
[2024-11-26 06:43:32,932][INFO] --PGD sample 87 image
[2024-11-26 06:43:42,369][INFO] --PGD sample 88 image
[2024-11-26 06:43:51,796][INFO] --PGD sample 89 image
[2024-11-26 06:44:01,233][INFO] --PGD sample 90 image
[2024-11-26 06:44:10,670][INFO] --PGD sample 91 image
[2024-11-26 06:44:20,100][INFO] --PGD sample 92 image
[2024-11-26 06:44:29,529][INFO] --PGD sample 93 image
[2024-11-26 06:44:38,966][INFO] --PGD sample 94 image
[2024-11-26 06:44:48,388][INFO] --PGD sample 95 image
[2024-11-26 06:44:57,807][INFO] --PGD sample 96 image
[2024-11-26 06:45:07,234][INFO] --PGD sample 97 image
[2024-11-26 06:45:16,652][INFO] --PGD sample 98 image
[2024-11-26 06:45:26,074][INFO] --PGD sample 99 image
[2024-11-26 06:45:35,514][INFO] --PGD sample 100 image
[2024-11-26 06:45:46,215][INFO] --get the 1 part of the feature_lb and feature_ub
[2024-11-26 06:45:46,216][INFO] --sample the 2 part of the originalset
[2024-11-26 06:45:46,216][INFO] --PGD sample 1 image
[2024-11-26 06:45:55,230][INFO] --PGD sample 2 image
[2024-11-26 06:46:04,517][INFO] --PGD sample 3 image
[2024-11-26 06:46:13,813][INFO] --PGD sample 4 image
[2024-11-26 06:46:23,102][INFO] --PGD sample 5 image
[2024-11-26 06:46:32,394][INFO] --PGD sample 6 image
[2024-11-26 06:46:41,681][INFO] --PGD sample 7 image
[2024-11-26 06:46:50,964][INFO] --PGD sample 8 image
[2024-11-26 06:47:00,245][INFO] --PGD sample 9 image
[2024-11-26 06:47:09,541][INFO] --PGD sample 10 image
[2024-11-26 06:47:18,830][INFO] --PGD sample 11 image
[2024-11-26 06:47:28,124][INFO] --PGD sample 12 image
[2024-11-26 06:47:37,420][INFO] --PGD sample 13 image
[2024-11-26 06:47:46,723][INFO] --PGD sample 14 image
[2024-11-26 06:47:56,030][INFO] --PGD sample 15 image
[2024-11-26 06:48:05,314][INFO] --PGD sample 16 image
[2024-11-26 06:48:14,601][INFO] --PGD sample 17 image
[2024-11-26 06:48:23,912][INFO] --PGD sample 18 image
[2024-11-26 06:48:33,228][INFO] --PGD sample 19 image
[2024-11-26 06:48:42,559][INFO] --PGD sample 20 image
[2024-11-26 06:48:51,890][INFO] --PGD sample 21 image
[2024-11-26 06:49:01,221][INFO] --PGD sample 22 image
[2024-11-26 06:49:10,511][INFO] --PGD sample 23 image
[2024-11-26 06:49:19,467][INFO] --PGD sample 24 image
[2024-11-26 06:49:28,114][INFO] --PGD sample 25 image
[2024-11-26 06:49:36,597][INFO] --PGD sample 26 image
[2024-11-26 06:49:45,074][INFO] --PGD sample 27 image
[2024-11-26 06:49:53,542][INFO] --PGD sample 28 image
[2024-11-26 06:50:02,022][INFO] --PGD sample 29 image
[2024-11-26 06:50:10,500][INFO] --PGD sample 30 image
[2024-11-26 06:50:18,967][INFO] --PGD sample 31 image
[2024-11-26 06:50:27,469][INFO] --PGD sample 32 image
[2024-11-26 06:50:35,952][INFO] --PGD sample 33 image
[2024-11-26 06:50:44,430][INFO] --PGD sample 34 image
[2024-11-26 06:50:52,914][INFO] --PGD sample 35 image
[2024-11-26 06:51:01,348][INFO] --PGD sample 36 image
[2024-11-26 06:51:09,853][INFO] --PGD sample 37 image
[2024-11-26 06:51:18,365][INFO] --PGD sample 38 image
[2024-11-26 06:51:26,858][INFO] --PGD sample 39 image
[2024-11-26 06:51:35,360][INFO] --PGD sample 40 image
[2024-11-26 06:51:43,850][INFO] --PGD sample 41 image
[2024-11-26 06:51:52,331][INFO] --PGD sample 42 image
[2024-11-26 06:52:00,831][INFO] --PGD sample 43 image
[2024-11-26 06:52:09,343][INFO] --PGD sample 44 image
[2024-11-26 06:52:17,838][INFO] --PGD sample 45 image
[2024-11-26 06:52:26,328][INFO] --PGD sample 46 image
[2024-11-26 06:52:34,850][INFO] --PGD sample 47 image
[2024-11-26 06:52:43,340][INFO] --PGD sample 48 image
[2024-11-26 06:52:51,837][INFO] --PGD sample 49 image
[2024-11-26 06:53:00,869][INFO] --PGD sample 50 image
[2024-11-26 06:53:10,256][INFO] --PGD sample 51 image
[2024-11-26 06:53:19,641][INFO] --PGD sample 52 image
[2024-11-26 06:53:28,410][INFO] --PGD sample 53 image
[2024-11-26 06:53:37,728][INFO] --PGD sample 54 image
[2024-11-26 06:53:47,104][INFO] --PGD sample 55 image
[2024-11-26 06:53:56,489][INFO] --PGD sample 56 image
[2024-11-26 06:54:05,863][INFO] --PGD sample 57 image
[2024-11-26 06:54:15,229][INFO] --PGD sample 58 image
[2024-11-26 06:54:24,617][INFO] --PGD sample 59 image
[2024-11-26 06:54:34,010][INFO] --PGD sample 60 image
[2024-11-26 06:54:43,385][INFO] --PGD sample 61 image
[2024-11-26 06:54:52,780][INFO] --PGD sample 62 image
[2024-11-26 06:55:02,164][INFO] --PGD sample 63 image
[2024-11-26 06:55:11,557][INFO] --PGD sample 64 image
[2024-11-26 06:55:20,959][INFO] --PGD sample 65 image
[2024-11-26 06:55:30,350][INFO] --PGD sample 66 image
[2024-11-26 06:55:39,740][INFO] --PGD sample 67 image
[2024-11-26 06:55:49,144][INFO] --PGD sample 68 image
[2024-11-26 06:55:58,540][INFO] --PGD sample 69 image
[2024-11-26 06:56:07,935][INFO] --PGD sample 70 image
[2024-11-26 06:56:17,337][INFO] --PGD sample 71 image
[2024-11-26 06:56:26,722][INFO] --PGD sample 72 image
[2024-11-26 06:56:36,113][INFO] --PGD sample 73 image
[2024-11-26 06:56:45,516][INFO] --PGD sample 74 image
[2024-11-26 06:56:54,911][INFO] --PGD sample 75 image
[2024-11-26 06:57:04,311][INFO] --PGD sample 76 image
[2024-11-26 06:57:13,730][INFO] --PGD sample 77 image
[2024-11-26 06:57:23,137][INFO] --PGD sample 78 image
[2024-11-26 06:57:32,530][INFO] --PGD sample 79 image
[2024-11-26 06:57:41,933][INFO] --PGD sample 80 image
[2024-11-26 06:57:51,332][INFO] --PGD sample 81 image
[2024-11-26 06:58:00,737][INFO] --PGD sample 82 image
[2024-11-26 06:58:10,146][INFO] --PGD sample 83 image
[2024-11-26 06:58:19,550][INFO] --PGD sample 84 image
[2024-11-26 06:58:28,961][INFO] --PGD sample 85 image
[2024-11-26 06:58:38,325][INFO] --PGD sample 86 image
[2024-11-26 06:58:47,506][INFO] --PGD sample 87 image
[2024-11-26 06:58:56,680][INFO] --PGD sample 88 image
[2024-11-26 06:59:05,904][INFO] --PGD sample 89 image
[2024-11-26 06:59:15,360][INFO] --PGD sample 90 image
[2024-11-26 06:59:24,770][INFO] --PGD sample 91 image
[2024-11-26 06:59:34,232][INFO] --PGD sample 92 image
[2024-11-26 06:59:43,681][INFO] --PGD sample 93 image
[2024-11-26 06:59:53,146][INFO] --PGD sample 94 image
[2024-11-26 07:00:02,598][INFO] --PGD sample 95 image
[2024-11-26 07:00:12,055][INFO] --PGD sample 96 image
[2024-11-26 07:00:21,514][INFO] --PGD sample 97 image
[2024-11-26 07:00:30,855][INFO] --PGD sample 98 image
[2024-11-26 07:00:39,650][INFO] --PGD sample 99 image
[2024-11-26 07:00:48,370][INFO] --PGD sample 100 image
[2024-11-26 07:00:58,206][INFO] --get the 2 part of the feature_lb and feature_ub
[2024-11-26 07:00:58,207][INFO] --sample the 3 part of the originalset
[2024-11-26 07:00:58,207][INFO] --PGD sample 1 image
[2024-11-26 07:01:06,578][INFO] --PGD sample 2 image
[2024-11-26 07:01:14,963][INFO] --PGD sample 3 image
[2024-11-26 07:01:23,406][INFO] --PGD sample 4 image
[2024-11-26 07:01:31,903][INFO] --PGD sample 5 image
[2024-11-26 07:01:40,308][INFO] --PGD sample 6 image
[2024-11-26 07:01:48,766][INFO] --PGD sample 7 image
[2024-11-26 07:01:57,185][INFO] --PGD sample 8 image
[2024-11-26 07:02:05,644][INFO] --PGD sample 9 image
[2024-11-26 07:02:14,119][INFO] --PGD sample 10 image
[2024-11-26 07:02:22,565][INFO] --PGD sample 11 image
[2024-11-26 07:02:31,009][INFO] --PGD sample 12 image
[2024-11-26 07:02:39,486][INFO] --PGD sample 13 image
[2024-11-26 07:02:47,845][INFO] --PGD sample 14 image
[2024-11-26 07:02:56,217][INFO] --PGD sample 15 image
[2024-11-26 07:03:04,695][INFO] --PGD sample 16 image
[2024-11-26 07:03:13,114][INFO] --PGD sample 17 image
[2024-11-26 07:03:21,601][INFO] --PGD sample 18 image
[2024-11-26 07:03:30,040][INFO] --PGD sample 19 image
[2024-11-26 07:03:38,411][INFO] --PGD sample 20 image
[2024-11-26 07:03:46,774][INFO] --PGD sample 21 image
[2024-11-26 07:03:55,267][INFO] --PGD sample 22 image
[2024-11-26 07:04:03,731][INFO] --PGD sample 23 image
[2024-11-26 07:04:12,148][INFO] --PGD sample 24 image
[2024-11-26 07:04:20,584][INFO] --PGD sample 25 image
[2024-11-26 07:04:29,065][INFO] --PGD sample 26 image
[2024-11-26 07:04:37,523][INFO] --PGD sample 27 image
[2024-11-26 07:04:46,017][INFO] --PGD sample 28 image
[2024-11-26 07:04:54,513][INFO] --PGD sample 29 image
[2024-11-26 07:05:02,984][INFO] --PGD sample 30 image
[2024-11-26 07:05:11,343][INFO] --PGD sample 31 image
[2024-11-26 07:05:19,733][INFO] --PGD sample 32 image
[2024-11-26 07:05:28,723][INFO] --PGD sample 33 image
[2024-11-26 07:05:37,650][INFO] --PGD sample 34 image
[2024-11-26 07:05:46,425][INFO] --PGD sample 35 image
[2024-11-26 07:05:55,020][INFO] --PGD sample 36 image
[2024-11-26 07:06:04,279][INFO] --PGD sample 37 image
[2024-11-26 07:06:13,636][INFO] --PGD sample 38 image
[2024-11-26 07:06:22,992][INFO] --PGD sample 39 image
[2024-11-26 07:06:32,352][INFO] --PGD sample 40 image
[2024-11-26 07:06:41,617][INFO] --PGD sample 41 image
[2024-11-26 07:06:50,638][INFO] --PGD sample 42 image
[2024-11-26 07:06:59,372][INFO] --PGD sample 43 image
[2024-11-26 07:07:08,169][INFO] --PGD sample 44 image
[2024-11-26 07:07:16,984][INFO] --PGD sample 45 image
[2024-11-26 07:07:25,476][INFO] --PGD sample 46 image
[2024-11-26 07:07:33,918][INFO] --PGD sample 47 image
[2024-11-26 07:07:42,447][INFO] --PGD sample 48 image
[2024-11-26 07:07:50,952][INFO] --PGD sample 49 image
[2024-11-26 07:07:59,416][INFO] --PGD sample 50 image
[2024-11-26 07:08:07,959][INFO] --PGD sample 51 image
[2024-11-26 07:08:16,370][INFO] --PGD sample 52 image
[2024-11-26 07:08:24,873][INFO] --PGD sample 53 image
[2024-11-26 07:08:33,411][INFO] --PGD sample 54 image
[2024-11-26 07:08:41,844][INFO] --PGD sample 55 image
[2024-11-26 07:08:50,398][INFO] --PGD sample 56 image
[2024-11-26 07:08:58,866][INFO] --PGD sample 57 image
[2024-11-26 07:09:07,426][INFO] --PGD sample 58 image
[2024-11-26 07:09:15,834][INFO] --PGD sample 59 image
[2024-11-26 07:09:24,429][INFO] --PGD sample 60 image
[2024-11-26 07:09:32,970][INFO] --PGD sample 61 image
[2024-11-26 07:09:41,454][INFO] --PGD sample 62 image
[2024-11-26 07:09:49,949][INFO] --PGD sample 63 image
[2024-11-26 07:09:58,486][INFO] --PGD sample 64 image
[2024-11-26 07:10:06,901][INFO] --PGD sample 65 image
[2024-11-26 07:10:15,450][INFO] --PGD sample 66 image
[2024-11-26 07:10:24,670][INFO] --PGD sample 67 image
[2024-11-26 07:10:34,072][INFO] --PGD sample 68 image
[2024-11-26 07:10:43,465][INFO] --PGD sample 69 image
[2024-11-26 07:10:52,859][INFO] --PGD sample 70 image
[2024-11-26 07:11:02,267][INFO] --PGD sample 71 image
[2024-11-26 07:11:11,696][INFO] --PGD sample 72 image
[2024-11-26 07:11:21,087][INFO] --PGD sample 73 image
[2024-11-26 07:11:30,459][INFO] --PGD sample 74 image
[2024-11-26 07:11:39,833][INFO] --PGD sample 75 image
[2024-11-26 07:11:49,217][INFO] --PGD sample 76 image
[2024-11-26 07:11:58,591][INFO] --PGD sample 77 image
[2024-11-26 07:12:07,962][INFO] --PGD sample 78 image
[2024-11-26 07:12:17,339][INFO] --PGD sample 79 image
[2024-11-26 07:12:26,708][INFO] --PGD sample 80 image
[2024-11-26 07:12:36,080][INFO] --PGD sample 81 image
[2024-11-26 07:12:45,459][INFO] --PGD sample 82 image
[2024-11-26 07:12:54,833][INFO] --PGD sample 83 image
[2024-11-26 07:13:04,208][INFO] --PGD sample 84 image
[2024-11-26 07:13:13,587][INFO] --PGD sample 85 image
[2024-11-26 07:13:22,960][INFO] --PGD sample 86 image
[2024-11-26 07:13:32,325][INFO] --PGD sample 87 image
[2024-11-26 07:13:41,710][INFO] --PGD sample 88 image
[2024-11-26 07:13:51,082][INFO] --PGD sample 89 image
[2024-11-26 07:14:00,462][INFO] --PGD sample 90 image
[2024-11-26 07:14:09,850][INFO] --PGD sample 91 image
[2024-11-26 07:14:19,230][INFO] --PGD sample 92 image
[2024-11-26 07:14:28,606][INFO] --PGD sample 93 image
[2024-11-26 07:14:37,993][INFO] --PGD sample 94 image
[2024-11-26 07:14:47,391][INFO] --PGD sample 95 image
[2024-11-26 07:14:56,756][INFO] --PGD sample 96 image
[2024-11-26 07:15:06,140][INFO] --PGD sample 97 image
[2024-11-26 07:15:15,520][INFO] --PGD sample 98 image
[2024-11-26 07:15:24,901][INFO] --PGD sample 99 image
[2024-11-26 07:15:34,296][INFO] --PGD sample 100 image
