[2024-11-25 10:59:33,278][INFO] 
===== resnet18-4-feature-500-2024-11-25-10-59-33 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x73927356d670>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x73934b999040>
[2024-11-25 11:13:14,529][INFO] --PGD sample 76 image
[2024-11-25 11:13:25,517][INFO] --PGD sample 77 image
[2024-11-25 11:13:36,512][INFO] --PGD sample 78 image
[2024-11-25 11:13:47,514][INFO] --PGD sample 79 image
[2024-11-25 11:13:58,572][INFO] --PGD sample 80 image
[2024-11-25 11:14:09,637][INFO] --PGD sample 81 image
[2024-11-25 11:14:20,703][INFO] --PGD sample 82 image
[2024-11-25 11:14:31,768][INFO] --PGD sample 83 image
[2024-11-25 11:14:42,833][INFO] --PGD sample 84 image
[2024-11-25 11:14:53,897][INFO] --PGD sample 85 image
[2024-11-25 11:15:04,963][INFO] --PGD sample 86 image
[2024-11-25 11:15:16,012][INFO] --PGD sample 87 image
[2024-11-25 11:15:26,993][INFO] --PGD sample 88 image
[2024-11-25 11:15:37,953][INFO] --PGD sample 89 image
[2024-11-25 11:15:48,921][INFO] --PGD sample 90 image
[2024-11-25 11:15:59,939][INFO] --PGD sample 91 image
[2024-11-25 11:16:10,955][INFO] --PGD sample 92 image
[2024-11-25 11:16:21,964][INFO] --PGD sample 93 image
[2024-11-25 11:16:32,976][INFO] --PGD sample 94 image
[2024-11-25 11:16:43,988][INFO] --PGD sample 95 image
[2024-11-25 11:16:54,995][INFO] --PGD sample 96 image
[2024-11-25 11:17:06,007][INFO] --PGD sample 97 image
[2024-11-25 11:17:17,015][INFO] --PGD sample 98 image
[2024-11-25 11:17:28,027][INFO] --PGD sample 99 image
[2024-11-25 11:17:39,045][INFO] --PGD sample 100 image
[2024-11-25 11:17:50,566][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-11-25 11:17:50,566][INFO] --sample the 1 part of the originalset
[2024-11-25 11:17:50,567][INFO] --PGD sample 1 image
[2024-11-25 11:18:01,312][INFO] --PGD sample 2 image
[2024-11-25 11:18:12,149][INFO] --PGD sample 3 image
[2024-11-25 11:18:22,997][INFO] --PGD sample 4 image
[2024-11-25 11:18:33,934][INFO] --PGD sample 5 image
[2024-11-25 11:18:44,767][INFO] --PGD sample 6 image
[2024-11-25 11:18:55,601][INFO] --PGD sample 7 image
[2024-11-25 11:19:06,478][INFO] --PGD sample 8 image
[2024-11-25 11:19:17,397][INFO] --PGD sample 9 image
[2024-11-25 11:19:28,324][INFO] --PGD sample 10 image
[2024-11-25 11:19:39,246][INFO] --PGD sample 11 image
[2024-11-25 11:19:50,169][INFO] --PGD sample 12 image
[2024-11-25 11:20:01,093][INFO] --PGD sample 13 image
[2024-11-25 11:20:12,007][INFO] --PGD sample 14 image
[2024-11-25 11:20:22,928][INFO] --PGD sample 15 image
[2024-11-25 11:20:33,836][INFO] --PGD sample 16 image
[2024-11-25 11:20:44,765][INFO] --PGD sample 17 image
[2024-11-25 11:20:55,695][INFO] --PGD sample 18 image
[2024-11-25 11:21:06,610][INFO] --PGD sample 19 image
[2024-11-25 11:21:17,523][INFO] --PGD sample 20 image
[2024-11-25 11:21:28,440][INFO] --PGD sample 21 image
[2024-11-25 11:21:39,357][INFO] --PGD sample 22 image
[2024-11-25 11:21:50,265][INFO] --PGD sample 23 image
[2024-11-25 11:22:01,178][INFO] --PGD sample 24 image
[2024-11-25 11:22:12,065][INFO] --PGD sample 25 image
[2024-11-25 11:22:22,974][INFO] --PGD sample 26 image
[2024-11-25 11:22:33,873][INFO] --PGD sample 27 image
[2024-11-25 11:22:44,786][INFO] --PGD sample 28 image
[2024-11-25 11:22:55,697][INFO] --PGD sample 29 image
[2024-11-25 11:23:06,616][INFO] --PGD sample 30 image
[2024-11-25 11:23:17,529][INFO] --PGD sample 31 image
[2024-11-25 11:23:28,408][INFO] --PGD sample 32 image
[2024-11-25 11:23:39,290][INFO] --PGD sample 33 image
[2024-11-25 11:23:50,176][INFO] --PGD sample 34 image
[2024-11-25 11:24:01,069][INFO] --PGD sample 35 image
[2024-11-25 11:24:11,955][INFO] --PGD sample 36 image
[2024-11-25 11:24:22,817][INFO] --PGD sample 37 image
[2024-11-25 11:24:34,031][INFO] --PGD sample 38 image
[2024-11-25 11:24:45,121][INFO] --PGD sample 39 image
[2024-11-25 11:24:56,069][INFO] --PGD sample 40 image
[2024-11-25 11:25:07,035][INFO] --PGD sample 41 image
[2024-11-25 11:25:17,979][INFO] --PGD sample 42 image
[2024-11-25 11:25:28,932][INFO] --PGD sample 43 image
[2024-11-25 11:25:39,879][INFO] --PGD sample 44 image
[2024-11-25 11:25:50,894][INFO] --PGD sample 45 image
[2024-11-25 11:26:01,908][INFO] --PGD sample 46 image
[2024-11-25 11:26:12,895][INFO] --PGD sample 47 image
[2024-11-25 11:26:23,878][INFO] --PGD sample 48 image
[2024-11-25 11:26:34,873][INFO] --PGD sample 49 image
[2024-11-25 11:26:45,905][INFO] --PGD sample 50 image
[2024-11-25 11:26:56,928][INFO] --PGD sample 51 image
[2024-11-25 11:27:07,955][INFO] --PGD sample 52 image
[2024-11-25 11:27:18,988][INFO] --PGD sample 53 image
[2024-11-25 11:27:30,030][INFO] --PGD sample 54 image
[2024-11-25 11:27:41,018][INFO] --PGD sample 55 image
[2024-11-25 11:27:51,995][INFO] --PGD sample 56 image
[2024-11-25 11:28:02,973][INFO] --PGD sample 57 image
[2024-11-25 11:28:13,976][INFO] --PGD sample 58 image
[2024-11-25 11:28:24,989][INFO] --PGD sample 59 image
[2024-11-25 11:28:35,923][INFO] --PGD sample 60 image
[2024-11-25 11:28:46,790][INFO] --PGD sample 61 image
[2024-11-25 11:28:57,663][INFO] --PGD sample 62 image
[2024-11-25 11:29:08,521][INFO] --PGD sample 63 image
[2024-11-25 11:29:19,392][INFO] --PGD sample 64 image
[2024-11-25 11:29:30,249][INFO] --PGD sample 65 image
[2024-11-25 11:29:41,113][INFO] --PGD sample 66 image
[2024-11-25 11:29:51,973][INFO] --PGD sample 67 image
[2024-11-25 11:30:02,830][INFO] --PGD sample 68 image
[2024-11-25 11:30:13,686][INFO] --PGD sample 69 image
[2024-11-25 11:30:24,547][INFO] --PGD sample 70 image
[2024-11-25 11:30:35,412][INFO] --PGD sample 71 image
[2024-11-25 11:30:46,277][INFO] --PGD sample 72 image
[2024-11-25 11:30:57,143][INFO] --PGD sample 73 image
[2024-11-25 11:31:08,008][INFO] --PGD sample 74 image
[2024-11-25 11:31:18,909][INFO] --PGD sample 75 image
[2024-11-25 11:31:29,835][INFO] --PGD sample 76 image
[2024-11-25 11:31:40,759][INFO] --PGD sample 77 image
[2024-11-25 11:31:51,687][INFO] --PGD sample 78 image
[2024-11-25 11:32:02,615][INFO] --PGD sample 79 image
[2024-11-25 11:32:13,537][INFO] --PGD sample 80 image
[2024-11-25 11:32:24,467][INFO] --PGD sample 81 image
[2024-11-25 11:32:35,403][INFO] --PGD sample 82 image
[2024-11-25 11:32:46,345][INFO] --PGD sample 83 image
[2024-11-25 11:32:57,287][INFO] --PGD sample 84 image
[2024-11-25 11:33:08,230][INFO] --PGD sample 85 image
[2024-11-25 11:33:19,174][INFO] --PGD sample 86 image
[2024-11-25 11:33:30,125][INFO] --PGD sample 87 image
[2024-11-25 11:33:41,078][INFO] --PGD sample 88 image
[2024-11-25 11:33:52,030][INFO] --PGD sample 89 image
[2024-11-25 11:34:02,997][INFO] --PGD sample 90 image
[2024-11-25 11:34:13,934][INFO] --PGD sample 91 image
[2024-11-25 11:34:24,714][INFO] --PGD sample 92 image
[2024-11-25 11:34:35,330][INFO] --PGD sample 93 image
[2024-11-25 11:34:45,947][INFO] --PGD sample 94 image
[2024-11-25 11:34:56,567][INFO] --PGD sample 95 image
[2024-11-25 11:35:07,189][INFO] --PGD sample 96 image
[2024-11-25 11:35:17,799][INFO] --PGD sample 97 image
[2024-11-25 11:35:28,400][INFO] --PGD sample 98 image
[2024-11-25 11:35:39,029][INFO] --PGD sample 99 image
[2024-11-25 11:35:49,637][INFO] --PGD sample 100 image
[2024-11-25 11:36:00,668][INFO] --get the 1 part of the feature_lb and feature_ub
[2024-11-25 11:36:00,668][INFO] --sample the 2 part of the originalset
[2024-11-25 11:36:00,669][INFO] --PGD sample 1 image
[2024-11-25 11:36:10,991][INFO] --PGD sample 2 image
[2024-11-25 11:36:21,456][INFO] --PGD sample 3 image
[2024-11-25 11:36:32,425][INFO] --PGD sample 4 image
[2024-11-25 11:36:43,334][INFO] --PGD sample 5 image
[2024-11-25 11:36:54,308][INFO] --PGD sample 6 image
[2024-11-25 11:37:05,463][INFO] --PGD sample 7 image
[2024-11-25 11:37:16,607][INFO] --PGD sample 8 image
[2024-11-25 11:37:27,791][INFO] --PGD sample 9 image
[2024-11-25 11:37:38,814][INFO] --PGD sample 10 image
[2024-11-25 11:37:49,912][INFO] --PGD sample 11 image
[2024-11-25 11:38:00,747][INFO] --PGD sample 12 image
[2024-11-25 11:38:11,589][INFO] --PGD sample 13 image
[2024-11-25 11:38:22,745][INFO] --PGD sample 14 image
[2024-11-25 11:38:33,909][INFO] --PGD sample 15 image
[2024-11-25 11:38:45,114][INFO] --PGD sample 16 image
[2024-11-25 11:38:55,979][INFO] --PGD sample 17 image
[2024-11-25 11:39:07,124][INFO] --PGD sample 18 image
[2024-11-25 11:39:18,084][INFO] --PGD sample 19 image
[2024-11-25 11:39:29,206][INFO] --PGD sample 20 image
[2024-11-25 11:39:40,343][INFO] --PGD sample 21 image
[2024-11-25 11:39:51,354][INFO] --PGD sample 22 image
[2024-11-25 11:40:02,525][INFO] --PGD sample 23 image
[2024-11-25 11:40:13,675][INFO] --PGD sample 24 image
[2024-11-25 11:40:24,781][INFO] --PGD sample 25 image
[2024-11-25 11:40:35,896][INFO] --PGD sample 26 image
[2024-11-25 11:40:47,046][INFO] --PGD sample 27 image
[2024-11-25 11:40:58,239][INFO] --PGD sample 28 image
[2024-11-25 11:41:09,432][INFO] --PGD sample 29 image
[2024-11-25 11:41:20,666][INFO] --PGD sample 30 image
[2024-11-25 11:41:31,859][INFO] --PGD sample 31 image
[2024-11-25 11:41:42,911][INFO] --PGD sample 32 image
[2024-11-25 11:41:53,862][INFO] --PGD sample 33 image
[2024-11-25 11:42:05,070][INFO] --PGD sample 34 image
[2024-11-25 11:42:15,922][INFO] --PGD sample 35 image
[2024-11-25 11:42:26,767][INFO] --PGD sample 36 image
[2024-11-25 11:42:37,618][INFO] --PGD sample 37 image
[2024-11-25 11:42:48,776][INFO] --PGD sample 38 image
[2024-11-25 11:42:59,945][INFO] --PGD sample 39 image
[2024-11-25 11:43:11,101][INFO] --PGD sample 40 image
[2024-11-25 11:43:22,284][INFO] --PGD sample 41 image
[2024-11-25 11:43:33,448][INFO] --PGD sample 42 image
[2024-11-25 11:43:44,583][INFO] --PGD sample 43 image
[2024-11-25 11:43:55,758][INFO] --PGD sample 44 image
[2024-11-25 11:44:06,960][INFO] --PGD sample 45 image
[2024-11-25 11:44:18,011][INFO] --PGD sample 46 image
[2024-11-25 11:44:29,133][INFO] --PGD sample 47 image
[2024-11-25 11:44:40,174][INFO] --PGD sample 48 image
[2024-11-25 11:44:51,074][INFO] --PGD sample 49 image
[2024-11-25 11:45:02,121][INFO] --PGD sample 50 image
[2024-11-25 11:45:13,324][INFO] --PGD sample 51 image
[2024-11-25 11:45:24,508][INFO] --PGD sample 52 image
[2024-11-25 11:45:35,729][INFO] --PGD sample 53 image
[2024-11-25 11:45:46,922][INFO] --PGD sample 54 image
[2024-11-25 11:45:58,097][INFO] --PGD sample 55 image
[2024-11-25 11:46:09,351][INFO] --PGD sample 56 image
[2024-11-25 11:46:20,606][INFO] --PGD sample 57 image
[2024-11-25 11:46:31,665][INFO] --PGD sample 58 image
[2024-11-25 11:46:42,643][INFO] --PGD sample 59 image
[2024-11-25 11:46:53,790][INFO] --PGD sample 60 image
[2024-11-25 11:47:05,024][INFO] --PGD sample 61 image
[2024-11-25 11:47:16,197][INFO] --PGD sample 62 image
[2024-11-25 11:47:27,153][INFO] --PGD sample 63 image
[2024-11-25 11:47:38,326][INFO] --PGD sample 64 image
[2024-11-25 11:47:49,518][INFO] --PGD sample 65 image
[2024-11-25 11:48:00,795][INFO] --PGD sample 66 image
[2024-11-25 11:48:12,040][INFO] --PGD sample 67 image
[2024-11-25 11:48:23,300][INFO] --PGD sample 68 image
[2024-11-25 11:48:34,542][INFO] --PGD sample 69 image
[2024-11-25 11:48:45,700][INFO] --PGD sample 70 image
[2024-11-25 11:48:56,878][INFO] --PGD sample 71 image
[2024-11-25 11:49:07,933][INFO] --PGD sample 72 image
[2024-11-25 11:49:19,171][INFO] --PGD sample 73 image
[2024-11-25 11:49:30,332][INFO] --PGD sample 74 image
[2024-11-25 11:49:41,496][INFO] --PGD sample 75 image
[2024-11-25 11:49:52,385][INFO] --PGD sample 76 image
[2024-11-25 11:50:03,574][INFO] --PGD sample 77 image
[2024-11-25 11:50:14,805][INFO] --PGD sample 78 image
[2024-11-25 11:50:26,032][INFO] --PGD sample 79 image
[2024-11-25 11:50:37,294][INFO] --PGD sample 80 image
[2024-11-25 11:50:48,501][INFO] --PGD sample 81 image
[2024-11-25 11:50:59,737][INFO] --PGD sample 82 image
[2024-11-25 11:51:10,878][INFO] --PGD sample 83 image
[2024-11-25 11:51:22,081][INFO] --PGD sample 84 image
[2024-11-25 11:51:33,303][INFO] --PGD sample 85 image
[2024-11-25 11:51:44,409][INFO] --PGD sample 86 image
[2024-11-25 11:51:55,350][INFO] --PGD sample 87 image
[2024-11-25 11:52:06,242][INFO] --PGD sample 88 image
[2024-11-25 11:52:17,216][INFO] --PGD sample 89 image
[2024-11-25 11:52:28,465][INFO] --PGD sample 90 image
[2024-11-25 11:52:39,546][INFO] --PGD sample 91 image
[2024-11-25 11:52:50,766][INFO] --PGD sample 92 image
[2024-11-25 11:53:01,982][INFO] --PGD sample 93 image
[2024-11-25 11:53:13,215][INFO] --PGD sample 94 image
[2024-11-25 11:53:24,458][INFO] --PGD sample 95 image
[2024-11-25 11:53:35,720][INFO] --PGD sample 96 image
[2024-11-25 11:53:46,958][INFO] --PGD sample 97 image
[2024-11-25 11:53:58,245][INFO] --PGD sample 98 image
[2024-11-25 11:54:09,351][INFO] --PGD sample 99 image
[2024-11-25 11:54:20,364][INFO] --PGD sample 100 image
[2024-11-25 11:54:32,162][INFO] --get the 2 part of the feature_lb and feature_ub
[2024-11-25 11:54:32,163][INFO] --sample the 3 part of the originalset
[2024-11-25 11:54:32,163][INFO] --PGD sample 1 image
[2024-11-25 11:54:42,844][INFO] --PGD sample 2 image
[2024-11-25 11:54:53,808][INFO] --PGD sample 3 image
[2024-11-25 11:55:04,898][INFO] --PGD sample 4 image
[2024-11-25 11:55:15,996][INFO] --PGD sample 5 image
[2024-11-25 11:55:27,148][INFO] --PGD sample 6 image
[2024-11-25 11:55:38,260][INFO] --PGD sample 7 image
[2024-11-25 11:55:49,090][INFO] --PGD sample 8 image
[2024-11-25 11:55:59,925][INFO] --PGD sample 9 image
[2024-11-25 11:56:11,071][INFO] --PGD sample 10 image
[2024-11-25 11:56:22,212][INFO] --PGD sample 11 image
[2024-11-25 11:56:33,193][INFO] --PGD sample 12 image
[2024-11-25 11:56:44,167][INFO] --PGD sample 13 image
[2024-11-25 11:56:55,172][INFO] --PGD sample 14 image
[2024-11-25 11:57:06,157][INFO] --PGD sample 15 image
[2024-11-25 11:57:17,179][INFO] --PGD sample 16 image
[2024-11-25 11:57:28,143][INFO] --PGD sample 17 image
[2024-11-25 11:57:39,106][INFO] --PGD sample 18 image
[2024-11-25 11:57:50,288][INFO] --PGD sample 19 image
[2024-11-25 11:58:01,440][INFO] --PGD sample 20 image
[2024-11-25 11:58:12,603][INFO] --PGD sample 21 image
[2024-11-25 11:58:23,800][INFO] --PGD sample 22 image
[2024-11-25 11:58:34,761][INFO] --PGD sample 23 image
[2024-11-25 11:58:45,950][INFO] --PGD sample 24 image
[2024-11-25 11:58:57,155][INFO] --PGD sample 25 image
[2024-11-25 11:59:08,343][INFO] --PGD sample 26 image
[2024-11-25 11:59:19,559][INFO] --PGD sample 27 image
[2024-11-25 11:59:30,668][INFO] --PGD sample 28 image
[2024-11-25 11:59:41,547][INFO] --PGD sample 29 image
[2024-11-25 11:59:52,649][INFO] --PGD sample 30 image
[2024-11-25 12:00:03,880][INFO] --PGD sample 31 image
[2024-11-25 12:00:14,758][INFO] --PGD sample 32 image
[2024-11-25 12:00:25,636][INFO] --PGD sample 33 image
[2024-11-25 12:00:36,736][INFO] --PGD sample 34 image
[2024-11-25 12:00:47,662][INFO] --PGD sample 35 image
[2024-11-25 12:00:58,786][INFO] --PGD sample 36 image
[2024-11-25 12:01:09,963][INFO] --PGD sample 37 image
[2024-11-25 12:01:21,068][INFO] --PGD sample 38 image
[2024-11-25 12:01:32,310][INFO] --PGD sample 39 image
[2024-11-25 12:01:43,377][INFO] --PGD sample 40 image
[2024-11-25 12:01:54,269][INFO] --PGD sample 41 image
[2024-11-25 12:02:05,155][INFO] --PGD sample 42 image
[2024-11-25 12:02:16,068][INFO] --PGD sample 43 image
[2024-11-25 12:02:26,959][INFO] --PGD sample 44 image
[2024-11-25 12:02:38,054][INFO] --PGD sample 45 image
[2024-11-25 12:02:49,141][INFO] --PGD sample 46 image
[2024-11-25 12:03:00,271][INFO] --PGD sample 47 image
[2024-11-25 12:03:11,301][INFO] --PGD sample 48 image
[2024-11-25 12:03:22,374][INFO] --PGD sample 49 image
[2024-11-25 12:03:33,455][INFO] --PGD sample 50 image
[2024-11-25 12:03:44,542][INFO] --PGD sample 51 image
[2024-11-25 12:03:55,626][INFO] --PGD sample 52 image
[2024-11-25 12:04:06,656][INFO] --PGD sample 53 image
[2024-11-25 12:04:17,925][INFO] --PGD sample 54 image
[2024-11-25 12:04:29,201][INFO] --PGD sample 55 image
[2024-11-25 12:04:40,494][INFO] --PGD sample 56 image
[2024-11-25 12:04:51,770][INFO] --PGD sample 57 image
[2024-11-25 12:05:02,996][INFO] --PGD sample 58 image
[2024-11-25 12:05:14,217][INFO] --PGD sample 59 image
[2024-11-25 12:05:25,461][INFO] --PGD sample 60 image
[2024-11-25 12:05:36,720][INFO] --PGD sample 61 image
[2024-11-25 12:05:47,981][INFO] --PGD sample 62 image
[2024-11-25 12:05:59,234][INFO] --PGD sample 63 image
[2024-11-25 12:06:10,446][INFO] --PGD sample 64 image
[2024-11-25 12:06:21,701][INFO] --PGD sample 65 image
[2024-11-25 12:06:32,916][INFO] --PGD sample 66 image
[2024-11-25 12:06:44,194][INFO] --PGD sample 67 image
[2024-11-25 12:06:55,211][INFO] --PGD sample 68 image
[2024-11-25 12:07:06,297][INFO] --PGD sample 69 image
[2024-11-25 12:07:17,416][INFO] --PGD sample 70 image
[2024-11-25 12:07:28,379][INFO] --PGD sample 71 image
[2024-11-25 12:07:39,458][INFO] --PGD sample 72 image
[2024-11-25 12:07:50,583][INFO] --PGD sample 73 image
[2024-11-25 12:08:01,857][INFO] --PGD sample 74 image
[2024-11-25 12:08:13,171][INFO] --PGD sample 75 image
[2024-11-25 12:08:24,465][INFO] --PGD sample 76 image
[2024-11-25 12:08:35,598][INFO] --PGD sample 77 image
[2024-11-25 12:08:46,737][INFO] --PGD sample 78 image
[2024-11-25 12:08:57,860][INFO] --PGD sample 79 image
[2024-11-25 12:09:08,786][INFO] --PGD sample 80 image
[2024-11-25 12:09:19,924][INFO] --PGD sample 81 image
[2024-11-25 12:09:31,092][INFO] --PGD sample 82 image
[2024-11-25 12:09:42,429][INFO] --PGD sample 83 image
[2024-11-25 12:09:53,472][INFO] --PGD sample 84 image
[2024-11-25 12:10:04,468][INFO] --PGD sample 85 image
[2024-11-25 12:10:15,483][INFO] --PGD sample 86 image
[2024-11-25 12:10:26,430][INFO] --PGD sample 87 image
[2024-11-25 12:10:37,423][INFO] --PGD sample 88 image
[2024-11-25 12:10:48,423][INFO] --PGD sample 89 image
[2024-11-25 12:10:59,428][INFO] --PGD sample 90 image
[2024-11-25 12:11:10,617][INFO] --PGD sample 91 image
[2024-11-25 12:11:21,861][INFO] --PGD sample 92 image
[2024-11-25 12:11:33,031][INFO] --PGD sample 93 image
[2024-11-25 12:11:44,134][INFO] --PGD sample 94 image
[2024-11-25 12:11:55,338][INFO] --PGD sample 95 image
[2024-11-25 12:12:06,560][INFO] --PGD sample 96 image
[2024-11-25 12:12:17,727][INFO] --PGD sample 97 image
[2024-11-25 12:12:28,816][INFO] --PGD sample 98 image
[2024-11-25 12:12:39,935][INFO] --PGD sample 99 image
[2024-11-25 12:12:51,132][INFO] --PGD sample 100 image
[2024-11-25 12:13:02,811][INFO] --get the 3 part of the feature_lb and feature_ub
