[2024-11-25 13:25:39,574][INFO] 
===== vgg19-4-feature-100-2024-11-25-13-25-39 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: vgg19
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x77406292c0d0>
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7740628c6670>
[2024-11-25 13:32:03,650][INFO] --PGD sample 40 image
[2024-11-25 13:32:13,507][INFO] --PGD sample 41 image
[2024-11-25 13:32:23,357][INFO] --PGD sample 42 image
[2024-11-25 13:32:33,201][INFO] --PGD sample 43 image
[2024-11-25 13:32:43,050][INFO] --PGD sample 44 image
[2024-11-25 13:32:52,905][INFO] --PGD sample 45 image
[2024-11-25 13:33:02,764][INFO] --PGD sample 46 image
[2024-11-25 13:33:12,620][INFO] --PGD sample 47 image
[2024-11-25 13:33:22,480][INFO] --PGD sample 48 image
[2024-11-25 13:33:32,351][INFO] --PGD sample 49 image
[2024-11-25 13:33:42,217][INFO] --PGD sample 50 image
[2024-11-25 13:33:52,073][INFO] --PGD sample 51 image
[2024-11-25 13:34:01,937][INFO] --PGD sample 52 image
[2024-11-25 13:34:11,806][INFO] --PGD sample 53 image
[2024-11-25 13:34:21,674][INFO] --PGD sample 54 image
[2024-11-25 13:34:31,533][INFO] --PGD sample 55 image
[2024-11-25 13:34:41,396][INFO] --PGD sample 56 image
[2024-11-25 13:34:51,262][INFO] --PGD sample 57 image
[2024-11-25 13:35:01,122][INFO] --PGD sample 58 image
[2024-11-25 13:35:10,996][INFO] --PGD sample 59 image
[2024-11-25 13:35:20,872][INFO] --PGD sample 60 image
[2024-11-25 13:35:30,741][INFO] --PGD sample 61 image
[2024-11-25 13:35:40,595][INFO] --PGD sample 62 image
[2024-11-25 13:35:50,467][INFO] --PGD sample 63 image
[2024-11-25 13:36:00,339][INFO] --PGD sample 64 image
[2024-11-25 13:36:10,221][INFO] --PGD sample 65 image
[2024-11-25 13:36:20,107][INFO] --PGD sample 66 image
[2024-11-25 13:36:29,987][INFO] --PGD sample 67 image
[2024-11-25 13:36:39,856][INFO] --PGD sample 68 image
[2024-11-25 13:36:49,727][INFO] --PGD sample 69 image
[2024-11-25 13:36:59,599][INFO] --PGD sample 70 image
[2024-11-25 13:37:09,469][INFO] --PGD sample 71 image
[2024-11-25 13:37:19,347][INFO] --PGD sample 72 image
[2024-11-25 13:37:29,226][INFO] --PGD sample 73 image
[2024-11-25 13:37:39,103][INFO] --PGD sample 74 image
[2024-11-25 13:37:48,984][INFO] --PGD sample 75 image
[2024-11-25 13:37:58,874][INFO] --PGD sample 76 image
[2024-11-25 13:38:08,664][INFO] --PGD sample 77 image
[2024-11-25 13:38:18,424][INFO] --PGD sample 78 image
[2024-11-25 13:38:28,299][INFO] --PGD sample 79 image
[2024-11-25 13:38:38,168][INFO] --PGD sample 80 image
[2024-11-25 13:38:48,051][INFO] --PGD sample 81 image
[2024-11-25 13:38:57,919][INFO] --PGD sample 82 image
[2024-11-25 13:39:07,751][INFO] --PGD sample 83 image
[2024-11-25 13:39:17,501][INFO] --PGD sample 84 image
[2024-11-25 13:39:27,248][INFO] --PGD sample 85 image
[2024-11-25 13:39:36,995][INFO] --PGD sample 86 image
[2024-11-25 13:39:46,747][INFO] --PGD sample 87 image
[2024-11-25 13:39:56,496][INFO] --PGD sample 88 image
[2024-11-25 13:40:06,272][INFO] --PGD sample 89 image
[2024-11-25 13:40:15,982][INFO] --PGD sample 90 image
[2024-11-25 13:40:25,478][INFO] --PGD sample 91 image
[2024-11-25 13:40:34,966][INFO] --PGD sample 92 image
[2024-11-25 13:40:44,479][INFO] --PGD sample 93 image
[2024-11-25 13:40:54,017][INFO] --PGD sample 94 image
[2024-11-25 13:41:03,554][INFO] --PGD sample 95 image
[2024-11-25 13:41:13,097][INFO] --PGD sample 96 image
[2024-11-25 13:41:22,648][INFO] --PGD sample 97 image
[2024-11-25 13:41:32,171][INFO] --PGD sample 98 image
[2024-11-25 13:41:41,716][INFO] --PGD sample 99 image
[2024-11-25 13:41:51,194][INFO] --PGD sample 100 image
[2024-11-25 13:42:02,268][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-11-25 13:42:03,434][INFO] --Test repair set accuracy 0.0
[2024-11-25 13:42:03,666][INFO] --Patch network: --- feature PatchNet ---
Name: feature patch network 99
--- End of feature PatchNet ---
[2024-11-25 13:42:03,675][INFO] [0m 0s (0.003 seconds)] Start repair part 0: 0
[2024-11-25 13:42:03,676][INFO] [0m 0s (0.003 seconds)] After epoch 0:
[2024-11-25 13:42:03,676][INFO] Loaded 100 abstractions for training.
[2024-11-25 13:42:04,604][INFO] min loss 4.7934112548828125, max loss 975.8572387695312.
[2024-11-25 13:42:04,606][INFO] Max loss at rule: tensor([0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0], device='cuda:2', dtype=torch.uint8).
[2024-11-25 13:42:04,686][INFO] Test set accuracy 0.9342.
[2024-11-25 13:42:04,686][INFO] repair set accuracy 0.0.
[2024-11-25 13:42:04,686][INFO] attacked test set accuracy 0.001.
[2024-11-25 13:42:04,686][INFO] 
[0m 1s (1.013 seconds)] Starting epoch 1:
[2024-11-25 13:42:06,690][INFO] [0m 3s (3.018 seconds)] After epoch 1:
[2024-11-25 13:42:06,691][INFO] Loaded 100 abstractions for training.
[2024-11-25 13:42:07,608][INFO] min loss 0.0, max loss 0.6555542945861816.
[2024-11-25 13:42:07,610][INFO] Max loss at rule: tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,
        0, 0, 0, 0], device='cuda:2', dtype=torch.uint8).
[2024-11-25 13:42:07,691][INFO] Test set accuracy 0.9342.
[2024-11-25 13:42:07,691][INFO] repair set accuracy 1.0.
[2024-11-25 13:42:07,691][INFO] attacked test set accuracy 1.0.
[2024-11-25 13:42:07,927][INFO] Accuracy at every epoch: [0.9342, 0.9342]
[2024-11-25 13:42:07,927][INFO] After 1 epochs / 0m 4s (4.019 seconds), eventually the trained network got certified? False, with 0.9342 accuracy on test set,with 1.0000 accuracy on repair set,with 1.0000 accuracy on attack test set.
[2024-11-25 13:42:07,927][INFO] final test
[2024-11-25 13:42:07,931][INFO] --Test set accuracy 0.9342
[2024-11-25 13:42:07,972][INFO] --Test repair set accuracy 1.0
[2024-11-25 13:42:08,011][INFO] --Test attack test set accuracy 1.0
[2024-11-25 13:42:08,011][INFO] traing time 4.338261511991732s
[2024-11-25 13:42:08,040][INFO] === Avg <epochs, train_time, certified, accuracy> for pgd attack networks:
[2024-11-25 13:42:08,041][INFO] tensor([1.0000, 4.0185, 0.0000, 0.9342])
[2024-11-25 13:42:08,042][INFO] Total Cost Time: 988.4684760149976s.



