[2023-12-23 03:17:19,160][INFO] 
===== resnet18-4-feature-100-2023-12-23-03-17-19 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0004
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet18
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 4
  loose_bound: 0.0314
  divided_repair: 1
  weight_decay: 0.0
  k_coeff: 0.001
  accuracy_loss: <function CifarArgParser.setup_rest.<locals>.ce_loss at 0x7f7f1dca9430>
  support_loss: MSELoss()
  sample_amount: 1000
  reset_params: False
  train_datasize: 10000
  test_datasize: 1000
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f7f1dca9310>
[2023-12-23 03:22:45,441][INFO] --FGSM sample 63 image
[2023-12-23 03:22:48,176][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:22:48,176][INFO] --PGD sample 63 image
[2023-12-23 03:22:52,571][INFO] --FGSM sample 64 image
[2023-12-23 03:22:53,014][INFO] --PGD sample 64 image
[2023-12-23 03:22:57,501][INFO] --FGSM sample 65 image
[2023-12-23 03:22:57,966][INFO] --PGD sample 65 image
[2023-12-23 03:23:02,646][INFO] --FGSM sample 66 image
[2023-12-23 03:23:03,132][INFO] --PGD sample 66 image
[2023-12-23 03:23:07,944][INFO] --FGSM sample 67 image
[2023-12-23 03:23:08,410][INFO] --PGD sample 67 image
[2023-12-23 03:23:12,982][INFO] --FGSM sample 68 image
[2023-12-23 03:23:13,440][INFO] --PGD sample 68 image
[2023-12-23 03:23:18,281][INFO] --FGSM sample 69 image
[2023-12-23 03:23:18,781][INFO] --PGD sample 69 image
[2023-12-23 03:23:23,299][INFO] --FGSM sample 70 image
[2023-12-23 03:23:23,784][INFO] --PGD sample 70 image
[2023-12-23 03:23:28,310][INFO] --FGSM sample 71 image
[2023-12-23 03:23:28,756][INFO] --PGD sample 71 image
[2023-12-23 03:23:33,148][INFO] --FGSM sample 72 image
[2023-12-23 03:23:33,598][INFO] --PGD sample 72 image
[2023-12-23 03:23:37,939][INFO] --FGSM sample 73 image
[2023-12-23 03:23:38,400][INFO] --PGD sample 73 image
[2023-12-23 03:23:42,872][INFO] --FGSM sample 74 image
[2023-12-23 03:23:43,329][INFO] --PGD sample 74 image
[2023-12-23 03:23:48,045][INFO] --FGSM sample 75 image
[2023-12-23 03:23:48,526][INFO] --PGD sample 75 image
[2023-12-23 03:23:52,872][INFO] --FGSM sample 76 image
[2023-12-23 03:23:53,325][INFO] --PGD sample 76 image
[2023-12-23 03:23:57,654][INFO] --FGSM sample 77 image
[2023-12-23 03:23:58,096][INFO] --PGD sample 77 image
[2023-12-23 03:24:02,567][INFO] --FGSM sample 78 image
[2023-12-23 03:24:03,017][INFO] --PGD sample 78 image
[2023-12-23 03:24:07,388][INFO] --FGSM sample 79 image
[2023-12-23 03:24:07,838][INFO] --PGD sample 79 image
[2023-12-23 03:24:12,310][INFO] --FGSM sample 80 image
[2023-12-23 03:24:12,764][INFO] --PGD sample 80 image
[2023-12-23 03:24:17,266][INFO] --FGSM sample 81 image
[2023-12-23 03:24:17,724][INFO] --PGD sample 81 image
[2023-12-23 03:24:22,127][INFO] --FGSM sample 82 image
[2023-12-23 03:24:22,568][INFO] --PGD sample 82 image
[2023-12-23 03:24:27,032][INFO] --FGSM sample 83 image
[2023-12-23 03:24:27,472][INFO] --PGD sample 83 image
[2023-12-23 03:24:31,988][INFO] --FGSM sample 84 image
[2023-12-23 03:24:32,450][INFO] --PGD sample 84 image
[2023-12-23 03:24:36,895][INFO] --FGSM sample 85 image
[2023-12-23 03:24:37,389][INFO] --PGD sample 85 image
[2023-12-23 03:24:42,192][INFO] --FGSM sample 86 image
[2023-12-23 03:24:42,650][INFO] --PGD sample 86 image
[2023-12-23 03:24:47,128][INFO] --FGSM sample 87 image
[2023-12-23 03:24:47,594][INFO] --PGD sample 87 image
[2023-12-23 03:24:52,220][INFO] --FGSM sample 88 image
[2023-12-23 03:24:52,710][INFO] --PGD sample 88 image
[2023-12-23 03:24:57,528][INFO] --FGSM sample 89 image
[2023-12-23 03:24:58,078][INFO] --PGD sample 89 image
[2023-12-23 03:25:02,653][INFO] --FGSM sample 90 image
[2023-12-23 03:25:03,108][INFO] --PGD sample 90 image
[2023-12-23 03:25:08,000][INFO] --FGSM sample 91 image
[2023-12-23 03:25:08,595][INFO] --PGD sample 91 image
[2023-12-23 03:25:13,309][INFO] --FGSM sample 92 image
[2023-12-23 03:25:13,797][INFO] --PGD sample 92 image
[2023-12-23 03:25:18,620][INFO] --FGSM sample 93 image
[2023-12-23 03:25:19,045][INFO] --PGD sample 93 image
[2023-12-23 03:25:23,679][INFO] --FGSM sample 94 image
[2023-12-23 03:25:24,128][INFO] --PGD sample 94 image
[2023-12-23 03:25:28,632][INFO] --FGSM sample 95 image
[2023-12-23 03:25:29,068][INFO] --PGD sample 95 image
[2023-12-23 03:25:33,633][INFO] --FGSM sample 96 image
[2023-12-23 03:25:34,096][INFO] --PGD sample 96 image
[2023-12-23 03:25:38,737][INFO] --FGSM sample 97 image
[2023-12-23 03:25:39,204][INFO] --PGD sample 97 image
[2023-12-23 03:25:43,833][INFO] --FGSM sample 98 image
[2023-12-23 03:25:46,567][INFO] --The attack_datas is empty, we use the repair data as the attack data
[2023-12-23 03:25:46,567][INFO] --PGD sample 98 image
[2023-12-23 03:25:51,049][INFO] --FGSM sample 99 image
[2023-12-23 03:25:51,517][INFO] --PGD sample 99 image
[2023-12-23 03:25:56,048][INFO] --FGSM sample 100 image
[2023-12-23 03:25:56,532][INFO] --PGD sample 100 image
[2023-12-23 03:26:01,910][INFO] --get the 0 part of the feature_lb and feature_ub
[2023-12-23 03:26:03,299][INFO] --Test repair set accuracy 0.0
[2023-12-23 03:26:03,320][INFO] --Patch network: --- feature PatchNet ---
Name: feature patch network 99
--- End of feature PatchNet ---
[2023-12-23 03:26:03,322][INFO] [0m 0s (0.000 seconds)] Start repair part 0: 0
[2023-12-23 03:26:03,322][INFO] [0m 0s (0.001 seconds)] After epoch 0:
[2023-12-23 03:26:03,322][INFO] Loaded 100 abstractions for training.
[2023-12-23 03:26:03,475][INFO] min loss 0.7858157753944397, max loss 26.84705352783203.
[2023-12-23 03:26:03,476][INFO] Max loss at rule: tensor([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
        0, 0, 0, 1], device='cuda:2', dtype=torch.uint8).
[2023-12-23 03:26:03,539][INFO] Test set accuracy 0.8833.
[2023-12-23 03:26:03,539][INFO] repair set accuracy 0.03.
[2023-12-23 03:26:03,539][INFO] train set accuracy 0.9989.
[2023-12-23 03:26:03,539][INFO] attacked test set accuracy 0.039.
[2023-12-23 03:26:03,539][INFO] 
[0m 0s (0.218 seconds)] Starting epoch 1:
[2023-12-23 03:26:03,954][INFO] [0m 0s (0.633 seconds)] After epoch 1:
[2023-12-23 03:26:03,954][INFO] Loaded 100 abstractions for training.
[2023-12-23 03:26:04,106][INFO] min loss 0.0, max loss 0.0.
[2023-12-23 03:26:04,106][INFO] All 100 abstractions certified.
[2023-12-23 03:26:04,169][INFO] Test set accuracy 0.8833.
[2023-12-23 03:26:04,169][INFO] repair set accuracy 1.0.
[2023-12-23 03:26:04,169][INFO] train set accuracy 0.9989.
[2023-12-23 03:26:04,169][INFO] attacked test set accuracy 1.0.
[2023-12-23 03:26:04,192][INFO] Accuracy at every epoch: [0.8833, 0.8833]
[2023-12-23 03:26:04,192][INFO] After 1 epochs / 0m 0s (0.848 seconds), eventually the trained network got certified? True, with 0.8833 accuracy on test set,with 1.0000 accuracy on repair set,with 0.9989 accuracy on train set,with 1.0000 accuracy on attack test set.
[2023-12-23 03:26:04,192][INFO] final test
[2023-12-23 03:26:04,196][INFO] --Test set accuracy 0.8833
[2023-12-23 03:26:04,216][INFO] --Test repair set accuracy 1.0
[2023-12-23 03:26:04,237][INFO] --Test train set accuracy 0.9989
[2023-12-23 03:26:04,258][INFO] --Test attack test set accuracy 1.0
[2023-12-23 03:26:04,258][INFO] traing time 0.9365977831184864s
[2023-12-23 03:26:04,264][INFO] === Avg <epochs, train_time, certified, accuracy> for pgd attack networks:
[2023-12-23 03:26:04,264][INFO] tensor([1.0000, 0.8480, 1.0000, 0.8833])
[2023-12-23 03:26:04,264][INFO] Total Cost Time: 525.1050062403083s.



