[2024-04-07 06:36:11,387][INFO] 
===== resnet152-2-feature-500-2024-04-07-06-36-11 configuration =====
  exp_fn: test_goal_repair
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 50
  tiny_width: 0.0002
  lr: 10
  batch_size: 50
  min_epochs: 15
  max_epochs: 100
  use_scheduler: True
  no_pts: True
  no_abs: False
  no_refine: True
  quiet: False
  debug: False
  net: resnet152
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  repair_location: feature
  repair_radius: 2
  loose_bound: 0.0314
  divided_repair: 5
  accuracy_loss: <function TinyImagenetArgParser.setup_rest.<locals>.ce_loss at 0x7f6efbab8430>
  reset_params: False
  train_datasize: 10000
  test_datasize: 5000
  label_repaired: False
  max_verifier_sec: 300
  verifier_timeout_as_safe: True
  sample_amount: 1000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f6efbab83a0>
[2024-04-07 06:42:29,190][INFO] --FGSM sample 84 image
[2024-04-07 06:42:29,937][INFO] --PGD sample 84 image
[2024-04-07 06:42:33,555][INFO] --FGSM sample 85 image
[2024-04-07 06:42:34,317][INFO] --PGD sample 85 image
[2024-04-07 06:42:37,925][INFO] --FGSM sample 86 image
[2024-04-07 06:42:38,671][INFO] --PGD sample 86 image
[2024-04-07 06:42:42,277][INFO] --FGSM sample 87 image
[2024-04-07 06:42:43,031][INFO] --PGD sample 87 image
[2024-04-07 06:42:46,647][INFO] --FGSM sample 88 image
[2024-04-07 06:42:47,393][INFO] --PGD sample 88 image
[2024-04-07 06:42:50,999][INFO] --FGSM sample 89 image
[2024-04-07 06:42:51,753][INFO] --PGD sample 89 image
[2024-04-07 06:42:55,368][INFO] --FGSM sample 90 image
[2024-04-07 06:42:56,115][INFO] --PGD sample 90 image
[2024-04-07 06:42:59,728][INFO] --FGSM sample 91 image
[2024-04-07 06:43:00,475][INFO] --PGD sample 91 image
[2024-04-07 06:43:04,086][INFO] --FGSM sample 92 image
[2024-04-07 06:43:04,833][INFO] --PGD sample 92 image
[2024-04-07 06:43:08,445][INFO] --FGSM sample 93 image
[2024-04-07 06:43:09,185][INFO] --PGD sample 93 image
[2024-04-07 06:43:12,796][INFO] --FGSM sample 94 image
[2024-04-07 06:43:13,541][INFO] --PGD sample 94 image
[2024-04-07 06:43:17,151][INFO] --FGSM sample 95 image
[2024-04-07 06:43:17,900][INFO] --PGD sample 95 image
[2024-04-07 06:43:21,515][INFO] --FGSM sample 96 image
[2024-04-07 06:43:22,267][INFO] --PGD sample 96 image
[2024-04-07 06:43:25,881][INFO] --FGSM sample 97 image
[2024-04-07 06:43:26,627][INFO] --PGD sample 97 image
[2024-04-07 06:43:30,238][INFO] --FGSM sample 98 image
[2024-04-07 06:43:30,980][INFO] --PGD sample 98 image
[2024-04-07 06:43:34,579][INFO] --FGSM sample 99 image
[2024-04-07 06:43:35,328][INFO] --PGD sample 99 image
[2024-04-07 06:43:38,933][INFO] --FGSM sample 100 image
[2024-04-07 06:43:39,677][INFO] --PGD sample 100 image
[2024-04-07 06:43:45,101][INFO] --get the 0 part of the feature_lb and feature_ub
[2024-04-07 06:43:45,102][INFO] --sample the 1 part of the originalset
[2024-04-07 06:43:45,102][INFO] --FGSM sample 1 image
[2024-04-07 06:43:45,822][INFO] --PGD sample 1 image
[2024-04-07 06:43:49,358][INFO] --FGSM sample 2 image
[2024-04-07 06:43:50,091][INFO] --PGD sample 2 image
[2024-04-07 06:43:53,641][INFO] --FGSM sample 3 image
[2024-04-07 06:43:54,372][INFO] --PGD sample 3 image
[2024-04-07 06:43:57,922][INFO] --FGSM sample 4 image
[2024-04-07 06:43:58,661][INFO] --PGD sample 4 image
[2024-04-07 06:44:02,211][INFO] --FGSM sample 5 image
[2024-04-07 06:44:02,943][INFO] --PGD sample 5 image
[2024-04-07 06:44:06,505][INFO] --FGSM sample 6 image
[2024-04-07 06:44:07,248][INFO] --PGD sample 6 image
[2024-04-07 06:44:10,811][INFO] --FGSM sample 7 image
[2024-04-07 06:44:11,551][INFO] --PGD sample 7 image
[2024-04-07 06:44:15,119][INFO] --FGSM sample 8 image
[2024-04-07 06:44:15,860][INFO] --PGD sample 8 image
[2024-04-07 06:44:19,429][INFO] --FGSM sample 9 image
[2024-04-07 06:44:20,156][INFO] --PGD sample 9 image
[2024-04-07 06:44:23,699][INFO] --FGSM sample 10 image
[2024-04-07 06:44:24,446][INFO] --PGD sample 10 image
[2024-04-07 06:44:28,028][INFO] --FGSM sample 11 image
[2024-04-07 06:44:28,769][INFO] --PGD sample 11 image
[2024-04-07 06:44:32,351][INFO] --FGSM sample 12 image
[2024-04-07 06:44:33,090][INFO] --PGD sample 12 image
[2024-04-07 06:44:36,673][INFO] --FGSM sample 13 image
[2024-04-07 06:44:37,426][INFO] --PGD sample 13 image
[2024-04-07 06:44:41,011][INFO] --FGSM sample 14 image
[2024-04-07 06:44:41,749][INFO] --PGD sample 14 image
[2024-04-07 06:44:45,337][INFO] --FGSM sample 15 image
[2024-04-07 06:44:46,076][INFO] --PGD sample 15 image
[2024-04-07 06:44:49,664][INFO] --FGSM sample 16 image
[2024-04-07 06:44:54,006][INFO] --PGD sample 16 image
[2024-04-07 06:44:57,599][INFO] --FGSM sample 17 image
[2024-04-07 06:44:58,353][INFO] --PGD sample 17 image
[2024-04-07 06:45:01,941][INFO] --FGSM sample 18 image
[2024-04-07 06:45:02,681][INFO] --PGD sample 18 image
[2024-04-07 06:45:06,271][INFO] --FGSM sample 19 image
[2024-04-07 06:45:07,011][INFO] --PGD sample 19 image
[2024-04-07 06:45:10,604][INFO] --FGSM sample 20 image
[2024-04-07 06:45:11,344][INFO] --PGD sample 20 image
[2024-04-07 06:45:14,935][INFO] --FGSM sample 21 image
[2024-04-07 06:45:15,659][INFO] --PGD sample 21 image
[2024-04-07 06:45:19,253][INFO] --FGSM sample 22 image
[2024-04-07 06:45:19,994][INFO] --PGD sample 22 image
[2024-04-07 06:45:23,592][INFO] --FGSM sample 23 image
[2024-04-07 06:45:24,338][INFO] --PGD sample 23 image
[2024-04-07 06:45:27,936][INFO] --FGSM sample 24 image
[2024-04-07 06:45:28,676][INFO] --PGD sample 24 image
[2024-04-07 06:45:32,283][INFO] --FGSM sample 25 image
[2024-04-07 06:45:33,031][INFO] --PGD sample 25 image
[2024-04-07 06:45:36,614][INFO] --FGSM sample 26 image
[2024-04-07 06:45:37,356][INFO] --PGD sample 26 image
[2024-04-07 06:45:40,936][INFO] --FGSM sample 27 image
[2024-04-07 06:45:41,674][INFO] --PGD sample 27 image
[2024-04-07 06:45:45,256][INFO] --FGSM sample 28 image
[2024-04-07 06:45:45,994][INFO] --PGD sample 28 image
[2024-04-07 06:45:49,578][INFO] --FGSM sample 29 image
[2024-04-07 06:45:50,324][INFO] --PGD sample 29 image
[2024-04-07 06:45:53,911][INFO] --FGSM sample 30 image
[2024-04-07 06:45:54,658][INFO] --PGD sample 30 image
[2024-04-07 06:45:58,245][INFO] --FGSM sample 31 image
[2024-04-07 06:45:58,984][INFO] --PGD sample 31 image
[2024-04-07 06:46:02,572][INFO] --FGSM sample 32 image
[2024-04-07 06:46:03,315][INFO] --PGD sample 32 image
[2024-04-07 06:46:06,905][INFO] --FGSM sample 33 image
[2024-04-07 06:46:07,654][INFO] --PGD sample 33 image
[2024-04-07 06:46:11,247][INFO] --FGSM sample 34 image
[2024-04-07 06:46:11,987][INFO] --PGD sample 34 image
[2024-04-07 06:46:15,577][INFO] --FGSM sample 35 image
[2024-04-07 06:46:16,321][INFO] --PGD sample 35 image
[2024-04-07 06:46:19,913][INFO] --FGSM sample 36 image
[2024-04-07 06:46:20,662][INFO] --PGD sample 36 image
[2024-04-07 06:46:24,252][INFO] --FGSM sample 37 image
[2024-04-07 06:46:24,994][INFO] --PGD sample 37 image
[2024-04-07 06:46:28,586][INFO] --FGSM sample 38 image
[2024-04-07 06:46:29,328][INFO] --PGD sample 38 image
[2024-04-07 06:46:32,921][INFO] --FGSM sample 39 image
[2024-04-07 06:46:33,663][INFO] --PGD sample 39 image
[2024-04-07 06:46:37,258][INFO] --FGSM sample 40 image
[2024-04-07 06:46:38,001][INFO] --PGD sample 40 image
[2024-04-07 06:46:41,594][INFO] --FGSM sample 41 image
[2024-04-07 06:46:42,335][INFO] --PGD sample 41 image
[2024-04-07 06:46:45,936][INFO] --FGSM sample 42 image
[2024-04-07 06:46:46,679][INFO] --PGD sample 42 image
[2024-04-07 06:46:50,273][INFO] --FGSM sample 43 image
[2024-04-07 06:46:51,019][INFO] --PGD sample 43 image
[2024-04-07 06:46:54,616][INFO] --FGSM sample 44 image
[2024-04-07 06:46:55,357][INFO] --PGD sample 44 image
[2024-04-07 06:46:58,956][INFO] --FGSM sample 45 image
[2024-04-07 06:46:59,697][INFO] --PGD sample 45 image
[2024-04-07 06:47:03,295][INFO] --FGSM sample 46 image
[2024-04-07 06:47:04,035][INFO] --PGD sample 46 image
[2024-04-07 06:47:07,633][INFO] --FGSM sample 47 image
[2024-04-07 06:47:08,378][INFO] --PGD sample 47 image
[2024-04-07 06:47:11,977][INFO] --FGSM sample 48 image
[2024-04-07 06:47:12,718][INFO] --PGD sample 48 image
[2024-04-07 06:47:16,311][INFO] --FGSM sample 49 image
[2024-04-07 06:47:17,057][INFO] --PGD sample 49 image
[2024-04-07 06:47:20,660][INFO] --FGSM sample 50 image
[2024-04-07 06:47:21,401][INFO] --PGD sample 50 image
[2024-04-07 06:47:25,000][INFO] --FGSM sample 51 image
[2024-04-07 06:47:25,746][INFO] --PGD sample 51 image
[2024-04-07 06:47:29,352][INFO] --FGSM sample 52 image
[2024-04-07 06:47:30,080][INFO] --PGD sample 52 image
[2024-04-07 06:47:33,673][INFO] --FGSM sample 53 image
[2024-04-07 06:47:34,420][INFO] --PGD sample 53 image
[2024-04-07 06:47:38,026][INFO] --FGSM sample 54 image
[2024-04-07 06:47:38,769][INFO] --PGD sample 54 image
[2024-04-07 06:47:42,379][INFO] --FGSM sample 55 image
[2024-04-07 06:47:43,121][INFO] --PGD sample 55 image
[2024-04-07 06:47:46,723][INFO] --FGSM sample 56 image
[2024-04-07 06:47:47,464][INFO] --PGD sample 56 image
[2024-04-07 06:47:51,065][INFO] --FGSM sample 57 image
[2024-04-07 06:47:51,793][INFO] --PGD sample 57 image
[2024-04-07 06:47:55,394][INFO] --FGSM sample 58 image
[2024-04-07 06:47:56,134][INFO] --PGD sample 58 image
[2024-04-07 06:47:59,768][INFO] --FGSM sample 59 image
[2024-04-07 06:48:00,513][INFO] --PGD sample 59 image
[2024-04-07 06:48:04,119][INFO] --FGSM sample 60 image
[2024-04-07 06:48:04,859][INFO] --PGD sample 60 image
[2024-04-07 06:48:08,468][INFO] --FGSM sample 61 image
[2024-04-07 06:48:09,195][INFO] --PGD sample 61 image
[2024-04-07 06:48:12,809][INFO] --FGSM sample 62 image
[2024-04-07 06:48:13,557][INFO] --PGD sample 62 image
[2024-04-07 06:48:17,169][INFO] --FGSM sample 63 image
[2024-04-07 06:48:17,916][INFO] --PGD sample 63 image
[2024-04-07 06:48:21,551][INFO] --FGSM sample 64 image
[2024-04-07 06:48:22,305][INFO] --PGD sample 64 image
[2024-04-07 06:48:25,934][INFO] --FGSM sample 65 image
[2024-04-07 06:48:26,682][INFO] --PGD sample 65 image
[2024-04-07 06:48:30,311][INFO] --FGSM sample 66 image
[2024-04-07 06:48:31,067][INFO] --PGD sample 66 image
[2024-04-07 06:48:34,692][INFO] --FGSM sample 67 image
[2024-04-07 06:48:35,440][INFO] --PGD sample 67 image
[2024-04-07 06:48:39,059][INFO] --FGSM sample 68 image
[2024-04-07 06:48:39,803][INFO] --PGD sample 68 image
[2024-04-07 06:48:43,447][INFO] --FGSM sample 69 image
[2024-04-07 06:48:44,197][INFO] --PGD sample 69 image
[2024-04-07 06:48:47,830][INFO] --FGSM sample 70 image
[2024-04-07 06:48:48,586][INFO] --PGD sample 70 image
[2024-04-07 06:48:52,217][INFO] --FGSM sample 71 image
[2024-04-07 06:48:52,966][INFO] --PGD sample 71 image
[2024-04-07 06:48:56,606][INFO] --FGSM sample 72 image
[2024-04-07 06:48:57,355][INFO] --PGD sample 72 image
[2024-04-07 06:49:01,006][INFO] --FGSM sample 73 image
[2024-04-07 06:49:01,772][INFO] --PGD sample 73 image
[2024-04-07 06:49:05,427][INFO] --FGSM sample 74 image
[2024-04-07 06:49:06,181][INFO] --PGD sample 74 image
[2024-04-07 06:49:09,816][INFO] --FGSM sample 75 image
[2024-04-07 06:49:10,569][INFO] --PGD sample 75 image
[2024-04-07 06:49:14,208][INFO] --FGSM sample 76 image
[2024-04-07 06:49:14,958][INFO] --PGD sample 76 image
[2024-04-07 06:49:18,594][INFO] --FGSM sample 77 image
[2024-04-07 06:49:19,346][INFO] --PGD sample 77 image
[2024-04-07 06:49:22,987][INFO] --FGSM sample 78 image
[2024-04-07 06:49:23,738][INFO] --PGD sample 78 image
[2024-04-07 06:49:27,376][INFO] --FGSM sample 79 image
[2024-04-07 06:49:28,126][INFO] --PGD sample 79 image
[2024-04-07 06:49:31,765][INFO] --FGSM sample 80 image
[2024-04-07 06:49:32,515][INFO] --PGD sample 80 image
[2024-04-07 06:49:36,158][INFO] --FGSM sample 81 image
[2024-04-07 06:49:36,917][INFO] --PGD sample 81 image
[2024-04-07 06:49:40,555][INFO] --FGSM sample 82 image
[2024-04-07 06:49:41,305][INFO] --PGD sample 82 image
[2024-04-07 06:49:44,948][INFO] --FGSM sample 83 image
[2024-04-07 06:49:45,703][INFO] --PGD sample 83 image
[2024-04-07 06:49:49,344][INFO] --FGSM sample 84 image
[2024-04-07 06:49:50,106][INFO] --PGD sample 84 image
[2024-04-07 06:49:53,738][INFO] --FGSM sample 85 image
[2024-04-07 06:49:54,487][INFO] --PGD sample 85 image
[2024-04-07 06:49:58,125][INFO] --FGSM sample 86 image
[2024-04-07 06:49:58,887][INFO] --PGD sample 86 image
[2024-04-07 06:50:02,525][INFO] --FGSM sample 87 image
[2024-04-07 06:50:03,986][INFO] --PGD sample 87 image
[2024-04-07 06:50:07,621][INFO] --FGSM sample 88 image
[2024-04-07 06:50:08,367][INFO] --PGD sample 88 image
[2024-04-07 06:50:12,005][INFO] --FGSM sample 89 image
[2024-04-07 06:50:12,754][INFO] --PGD sample 89 image
[2024-04-07 06:50:16,398][INFO] --FGSM sample 90 image
[2024-04-07 06:50:17,150][INFO] --PGD sample 90 image
[2024-04-07 06:50:20,795][INFO] --FGSM sample 91 image
[2024-04-07 06:50:21,541][INFO] --PGD sample 91 image
[2024-04-07 06:50:25,172][INFO] --FGSM sample 92 image
[2024-04-07 06:50:25,926][INFO] --PGD sample 92 image
[2024-04-07 06:50:29,576][INFO] --FGSM sample 93 image
[2024-04-07 06:50:30,326][INFO] --PGD sample 93 image
[2024-04-07 06:50:33,976][INFO] --FGSM sample 94 image
[2024-04-07 06:50:34,743][INFO] --PGD sample 94 image
[2024-04-07 06:50:38,384][INFO] --FGSM sample 95 image
[2024-04-07 06:50:39,132][INFO] --PGD sample 95 image
[2024-04-07 06:50:42,774][INFO] --FGSM sample 96 image
[2024-04-07 06:50:43,524][INFO] --PGD sample 96 image
[2024-04-07 06:50:47,170][INFO] --FGSM sample 97 image
[2024-04-07 06:50:47,920][INFO] --PGD sample 97 image
[2024-04-07 06:50:51,565][INFO] --FGSM sample 98 image
[2024-04-07 06:50:52,330][INFO] --PGD sample 98 image
[2024-04-07 06:50:55,976][INFO] --FGSM sample 99 image
[2024-04-07 06:50:56,734][INFO] --PGD sample 99 image
