Model,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,FDD/%,FDD/%,FDD/%,FDD/%,FDD/%,time/s,time/s,time/s,time/s,time/s
"$N_{4,8}$",99.8,100.0,100.0,100.0,100.0,99.7,97.4,77.1,100.0,100.0,4.7,97.9,88.2,1.6,0.0,36.0,4.9,542.7,14.8,30.2
"$N_{4,9}$",99.8,100.0,100.0,100.0,100.0,99.8,95.0,64.0,100.0,100.0,7.7,98.4,90.1,3.3,0.0,21.2,5.0,545.8,16.4,23.8
"$N_{5,1}$",100.0,100.0,100.0,100.0,100.0,100.0,90.5,97.6,100.0,100.0,14.0,98.4,96.9,6.9,0.0,19.8,3.5,541.3,17.1,18.6
"$N_{5,2}$",100.0,100.0,100.0,100.0,100.0,99.9,99.3,100.0,100.0,100.0,4.1,91.8,94.1,7.2,0.0,13.3,4.0,543.4,17.2,18.3
"$N_{5,3}$",100.0,100.0,100.0,100.0,100.0,99.9,88.6,99.7,100.0,100.0,8.8,88.3,94.8,6.0,0.0,17.4,3.5,542.9,16.8,18.7
"$N_{5,4}$",99.6,100.0,100.0,100.0,100.0,98.9,95.9,99.5,100.0,100.0,17.7,98.0,91.9,7.1,0.0,16.9,2.9,540.7,16.1,18.2
"$N_{5,5}$",100.0,100.0,100.0,100.0,100.0,100.0,97.0,99.7,100.0,100.0,5.4,94.8,94.4,3.9,0.0,8.6,3.4,518.9,15.9,18.3
"$N_{5,6}$",100.0,100.0,100.0,100.0,100.0,100.0,99.2,98.8,100.0,100.0,6.0,95.7,93.7,9.6,0.0,13.1,4.7,519.5,15.9,30.0
"$N_{5,7}$",97.2,100.0,100.0,100.0,100.0,97.7,99.1,98.6,100.0,100.0,4.9,95.3,87.7,1.8,0.0,21.2,5.0,517.3,16.3,24.2
"$N_{5,8}$",99.2,100.0,100.0,100.0,100.0,98.9,99.7,95.5,100.0,100.0,5.2,99.2,80.0,1.8,0.0,28.3,4.3,517.9,15.9,24.1
"$N_{5,9}$",100.0,100.0,100.0,100.0,100.0,100.0,96.9,91.7,100.0,100.0,5.4,97.2,27.0,2.0,0.0,22.6,4.8,515.8,15.4,24.3
